Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  DIE_d1_m8-VR-004.txt
Log File Name:                   DIE_d1_m8-VR-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            114056974
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   DIE_d1_m8-VR-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Branch	No RJ Local Node	
4900000	706.335640	1	-1.000778422893	0.969985410347	-0.011594375776	0.057874512757	0.000031860027	0.991372693695	N\A	0.027920153211	0.003777130684	0.012210365136	47	26	
4950000	720.770053	1	-1.062788797672	1.002179232339	-0.014908956599	0.057808059420	0.000023735114	0.992707167468	N\A	0.026954706262	0.003841369803	0.012059944180	47	26	
5000000	715.757952	1	-1.040810411742	0.983158658823	-0.007555634856	0.038111873606	0.000023730092	0.992220649446	N\A	0.026767315195	0.003868436773	0.011746667422	42	21	
5050000	725.736376	1	-1.118194541875	1.032408274293	-0.014268877836	0.035592337358	0.000025114939	0.991523234685	N\A	0.027335757416	0.004044985017	0.011908796305	40	21	
5100000	713.541298	1	-1.147758900885	1.059396884898	-0.016308000518	0.016131432475	0.000029737525	0.991147387272	N\A	0.029184264146	0.003778409558	0.012285169340	50	23	
5150000	726.539386	1	-1.064328915210	0.984291133922	-0.007577976986	0.039500752332	0.000022077709	0.991390966087	N\A	0.028098200047	0.004050715690	0.011712304282	59	22	
5200000	732.978841	1	-1.028919605255	0.968657368978	-0.001250312029	0.018631881403	0.000022887309	0.992096235753	N\A	0.028944968982	0.004159068305	0.011966704637	43	23	
5250000	722.142899	1	-1.057224433580	1.000841334904	-0.015361523967	0.057829644834	0.000030979636	0.991244883099	N\A	0.027826708281	0.003701558224	0.011858832018	43	18	
5300000	713.877699	1	-1.044615759242	0.982320073095	-0.011440129830	0.055413220128	0.000025117544	0.992013668498	N\A	0.028611795204	0.004012006958	0.012023678562	57	24	
5350000	711.576365	1	-0.988302788048	0.942818566028	0.000215856315	0.032055567045	0.000035773963	0.991769175383	N\A	0.028823554229	0.004219291856	0.011899713064	57	24	
5400000	725.999014	1	-1.104319895468	1.019243023423	-0.009689916782	0.022764814689	0.000028921692	0.991375721055	N\A	0.027198751905	0.003743053957	0.011488407131	41	15	
5450000	732.462041	1	-1.131339307541	1.047520833424	-0.022896768418	0.062137603669	0.000026427695	0.992039426461	N\A	0.028121142300	0.004005009601	0.012028029778	35	27	
5500000	722.978167	1	-1.050222350155	0.984340206910	-0.006916893193	0.037419488796	0.000036336994	0.991769904855	N\A	0.029882047949	0.003953350907	0.012524148974	47	24	
5550000	730.593029	1	-1.074183976774	0.999422450962	-0.014830028459	0.065982350601	0.000029116512	0.991982208293	N\A	0.026581762478	0.003743733752	0.010912965446	55	29	
5600000	711.485809	1	-1.175996937057	1.077709725464	-0.024343849873	0.044269442971	0.000024830711	0.991453957602	N\A	0.026939062873	0.003720326674	0.011840626153	32	30	
5650000	722.972013	1	-0.982583268690	0.953909566170	-0.003077266402	0.035425000085	0.000023841542	0.992483475567	N\A	0.026746680539	0.004069526625	0.011409597149	47	17	
5700000	719.699485	1	-1.028082891820	0.978620089192	-0.010157014640	0.050611511529	0.000026217870	0.991914421104	N\A	0.027340218694	0.003891707560	0.011355055968	46	21	
5750000	730.426974	1	-1.019247881037	0.965928599992	-0.008430082474	0.057357885820	0.000023941050	0.992502791372	N\A	0.026368582620	0.003849000575	0.011446865573	43	19	
5800000	715.747454	1	-1.077067591425	1.010221205108	-0.012668012063	0.040454327926	0.000026750945	0.991983962664	N\A	0.027493154504	0.003762365790	0.012114927456	43	28	
5850000	730.434071	1	-1.057518193935	0.995654848606	-0.011265795521	0.046183995731	0.000019706554	0.992634261824	N\A	0.028350251246	0.004203089139	0.011466315094	46	21	
5900000	728.470304	1	-1.108702579734	1.024654957193	-0.016830670614	0.054191357791	0.000024183106	0.992798360935	N\A	0.028030896750	0.003894931262	0.011990267561	51	31	
5950000	708.878296	1	-1.142531182019	1.063573288436	-0.025511580404	0.049100623906	0.000027720302	0.990219547129	N\A	0.029270778550	0.003734737220	0.012997653131	58	20	
6000000	720.370918	1	-1.142280753818	1.057362597198	-0.022845014472	0.051064548629	0.000025496531	0.991209839033	N\A	0.028779322789	0.003866004196	0.011648154496	45	24	
6050000	721.126352	1	-1.112854994315	1.035290915958	-0.014462668072	0.034481697323	0.000025263120	0.993223431486	N\A	0.027580070396	0.003812125234	0.011532111229	51	27	
6100000	747.103140	1	-1.035546877912	0.984465000931	-0.013602756135	0.062886947505	0.000023775745	0.992306128137	N\A	0.026781635306	0.003511636872	0.011042397208	38	26	
6150000	724.144239	1	-1.120729162131	1.037944554771	-0.015331457917	0.033956558712	0.000023132153	0.991806978610	N\A	0.026958734784	0.003941979157	0.011194760757	47	21	
6200000	717.365756	1	-1.015003781871	0.984695264721	-0.016669626025	0.072264309802	0.000023717872	0.991958370299	N\A	0.028004282048	0.003699815275	0.011730478307	38	21	
6250000	730.644023	1	-0.984853982244	0.946413989204	-0.001790118849	0.037248717972	0.000023439056	0.992005060855	N\A	0.026889875832	0.004051224328	0.011233570488	42	23	
6300000	737.742236	1	-1.051411944759	0.996917603640	-0.010142235240	0.040082653905	0.000021905945	0.993177568822	N\A	0.028086744234	0.003973057290	0.012077242611	46	32	
6350000	710.633490	1	-0.899005684557	0.912116269139	-0.000761170376	0.046423303164	0.000017816090	0.992415529717	N\A	0.026829785489	0.003791592683	0.010408130171	42	28	
6400000	723.357483	1	-1.064104909403	1.000538500395	-0.013915944938	0.055530763683	0.000025309895	0.991225325602	N\A	0.028377422537	0.004037451603	0.012794774045	54	20	
6450000	718.022000	1	-0.965992151474	0.929865488877	-0.000717319275	0.049685533209	0.000021104109	0.992165325426	N\A	0.027487452876	0.004003952275	0.012139620977	51	16	
6500000	715.262138	1	-1.071150011047	1.018988100044	-0.019787491471	0.064386347111	0.000027673073	0.990310086471	N\A	0.027590491294	0.003986968504	0.012593214592	50	24	
6550000	718.058592	1	-1.181735661401	1.076099978675	-0.016753041149	0.009805279863	0.000027015683	0.992854346055	N\A	0.026771612707	0.003798421227	0.010085287068	39	33	
