Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SEP_d1_m7-VR-005.txt
Log File Name:                   SEP_d1_m7-VR-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2069052670
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SEP_d1_m7-VR-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Branch	No RJ Local Node	
3900000	537.013482	1	-1.574487261598	0.866835887796	0.084023662286	-0.014867073048	0.000089636235	0.974352938415	N\A	0.026563727272	0.024381922213	0.003121462893	38	31	
3950000	531.482476	1	-1.497809332064	0.801410847306	0.156046559634	-0.017748964177	0.000102769022	0.972963980398	N\A	0.026444809259	0.024798784750	0.003429085914	52	19	
4000000	553.210414	1	-1.612767052175	0.879026773609	0.107817744525	-0.020935902953	0.000063804592	0.985989328734	N\A	0.024791760153	0.024567034018	0.003241172742	35	23	
4050000	542.084238	1	-1.626674935021	0.889885950487	0.088426007231	-0.018544761411	0.000058541010	0.981973337464	N\A	0.024104255897	0.021234045884	0.002714936628	51	31	
4100000	554.965090	1	-1.625354859357	0.910354934129	0.072218490498	-0.018418854368	0.000062032564	0.974437976266	N\A	0.028689976095	0.024994701316	0.003369767143	42	22	
4150000	543.674508	1	-1.673044999915	0.908448179938	0.067751007324	-0.014745948756	0.000112457787	0.983065872971	N\A	0.022787697846	0.022629246545	0.003172991764	55	23	
4200000	552.057475	1	-1.574101113864	0.868159668698	0.080242367450	-0.011715359276	0.000077847330	0.978154219761	N\A	0.024749826626	0.022240535291	0.003202288748	53	24	
4250000	537.431642	1	-1.621863484876	0.890794080841	0.060545634164	-0.010819563457	0.000106971013	0.979048647021	N\A	0.027786659442	0.023829744581	0.003275360976	36	23	
4300000	540.358102	1	-1.621286569156	0.857911125010	0.127757483118	-0.022713995375	0.000079830744	0.977403468474	N\A	0.025924650749	0.022682926241	0.003077749725	49	24	
4350000	540.290475	1	-1.558032092574	0.844425659675	0.128209508315	-0.020776756131	0.000054370576	0.976839575221	N\A	0.026163999807	0.023805027338	0.003013445128	48	24	
4400000	543.585943	1	-1.593746740101	0.885520826982	0.050377837771	-0.008685830627	0.000074497594	0.990506197465	N\A	0.020342972681	0.016221062303	0.002316146258	55	24	
4450000	558.164802	1	-1.530279635754	0.864965076879	0.101772484327	-0.017697380914	0.000067806312	0.979421455309	N\A	0.023357166950	0.021169289901	0.002798613911	46	23	
4500000	533.350277	1	-1.606965851000	0.883601198167	0.074124257095	-0.015698072609	0.000094775622	0.969689621989	N\A	0.026844562439	0.024826252761	0.003221332284	48	25	
4550000	536.979472	1	-1.587364368522	0.861827334649	0.119607838713	-0.019855964951	0.000046129983	0.977081147333	N\A	0.030759223082	0.027920705652	0.003570404579	49	29	
4600000	529.366005	1	-1.537443321375	0.852104766862	0.094978367662	-0.015586796551	0.000109578955	0.975412571007	N\A	0.026286130788	0.023613530517	0.003169361505	36	26	
4650000	540.033149	1	-1.472027738606	0.806247122169	0.139922655339	-0.019482016768	0.000079596400	0.994750896633	N\A	0.020431397920	0.018356203456	0.002786069714	53	18	
4700000	533.473637	1	-1.703622614442	0.935540619947	0.057798514345	-0.019779333486	0.000069804742	0.977279521554	N\A	0.024182856054	0.024232990454	0.003327890224	42	25	
4750000	542.014573	1	-1.638667837828	0.885980949294	0.103240166643	-0.019288460346	0.000050373852	0.977072162030	N\A	0.025768281045	0.023322803543	0.003112965011	49	23	
4800000	546.550073	1	-1.552942190360	0.884018906120	0.073233381963	-0.014037301638	0.000055201544	0.972505407357	N\A	0.028835947931	0.025975187816	0.003494034306	49	22	
4850000	546.300167	1	-1.532231366681	0.847431166833	0.103042229778	-0.015050886725	0.000099122835	0.974364712098	N\A	0.026791544222	0.024572921150	0.003352261045	44	22	
4900000	549.228270	1	-1.494654820021	0.820328791926	0.133798493617	-0.017630632467	0.000063894796	0.975596713548	N\A	0.028392769353	0.026476192099	0.003427271008	31	30	
4950000	544.805742	1	-1.568427568434	0.864846082910	0.087307716232	-0.014715399692	0.000085332507	0.972468114341	N\A	0.025905961471	0.023935354114	0.003179180556	39	29	
5000000	539.536417	1	-1.590930866860	0.878927964523	0.102399134309	-0.018896110673	0.000072991979	0.972155328645	N\A	0.024885804555	0.022449906926	0.002982513464	50	24	
5050000	535.207967	1	-1.528937645601	0.877164789533	0.055278603151	-0.007370508823	0.000059266149	0.976747663933	N\A	0.024735816024	0.022670310010	0.003145123349	55	25	
5100000	536.936615	1	-1.599434587354	0.856423462933	0.135112281121	-0.020911660518	0.000063839077	0.974316792082	N\A	0.027674776027	0.025415606826	0.003585771413	47	29	
5150000	530.544871	1	-1.594013326068	0.866455331659	0.112338167910	-0.018534492265	0.000073672373	0.973932994948	N\A	0.027975857087	0.025681991401	0.003327899746	40	16	
5200000	541.882424	1	-1.524193482015	0.846393640618	0.090777854547	-0.013448983949	0.000083827877	0.974264189013	N\A	0.025497793898	0.023137805120	0.003213270502	47	18	
5250000	532.444595	1	-1.595933034539	0.868277560258	0.088792932010	-0.014166160517	0.000077559202	0.973324937143	N\A	0.025188672970	0.023786985076	0.003216601773	41	23	
5300000	528.718328	1	-1.595580415323	0.883982447016	0.068952243131	-0.013701405875	0.000068380991	0.970902097726	N\A	0.030809949486	0.028086209030	0.003696772649	50	30	
5350000	535.494862	1	-1.498510965925	0.832208233664	0.102036821949	-0.014438737262	0.000085342531	0.981971318606	N\A	0.024954289627	0.023148607737	0.003094492464	47	26	
