Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SEP_d1_m9-VR-004.txt
Log File Name:                   SEP_d1_m9-VR-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            4060266799
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SEP_d1_m9-VR-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Branch	No RJ Local Node	
4100000	548.088453	1	-2.120488301287	1.300646634379	-0.073997718975	-0.017054056531	0.015441698856	0.000067304987	0.976356881116	N\A	0.086938275036	0.012831177801	0.038238995459	0.007536200937	47	32	
4150000	539.416257	1	-1.862324567620	1.137065856000	-0.041743349088	-0.013855639794	0.009294798427	0.000052320358	0.977717177734	N\A	0.074464970116	0.011328592420	0.032079306879	0.006328992496	43	25	
4200000	546.947723	1	-1.776896204360	1.000892678609	-0.020500690943	0.050853226816	-0.006785356393	0.000066260907	0.974482889621	N\A	0.074785862405	0.010252625449	0.034924466322	0.006319600376	45	28	
4250000	538.269775	1	-1.807593057522	1.060528588955	-0.025538164346	0.020067236803	-0.003317882055	0.000047774100	0.976823753215	N\A	0.081374792982	0.011122431478	0.036779939625	0.006327201544	51	29	
4300000	546.812719	1	-1.592817254602	0.943524249272	-0.017723890909	0.045707833698	-0.001106649230	0.000071344771	0.974839362748	N\A	0.075215051847	0.010957904147	0.033039604549	0.006528249161	42	19	
4350000	545.941067	1	-1.806317841561	1.080344443205	-0.033394504439	0.023578118841	-0.001038688224	0.000060273520	0.973222483084	N\A	0.085151510887	0.013027197900	0.035677509817	0.007124263311	53	23	
4400000	528.768602	1	-1.727731697094	1.003173099870	-0.028425809211	0.088067955424	-0.008585988534	0.000077031157	0.973641462363	N\A	0.079304547548	0.010967682755	0.036170556376	0.006270012153	49	25	
4450000	549.587815	1	-1.780530896001	1.069225538988	-0.034275721684	0.036733182759	0.001767793662	0.000058305890	0.976630938775	N\A	0.073625518979	0.010680941293	0.032688509211	0.006233588616	55	20	
4500000	544.448469	1	-2.082846943961	1.314434161618	-0.074871528407	-0.072034192578	0.026064308924	0.000076714673	0.975378785558	N\A	0.080691148839	0.012076749477	0.034644968323	0.006846810510	46	26	
4550000	546.318945	1	-1.784998449559	1.033682890446	-0.024417932962	0.032074438236	-0.002976296348	0.000071957086	0.975239860154	N\A	0.082702361858	0.012491014093	0.034251961327	0.006597698182	47	14	
4600000	548.956682	1	-1.660201698368	0.903989373928	-0.004969998809	0.091468736032	-0.013810170372	0.000110537300	0.975677545418	N\A	0.066911378058	0.008919973053	0.031719254190	0.005509857539	45	27	
4650000	551.110003	1	-2.001734773891	1.196418800179	-0.042533173758	-0.026757887890	0.004667079226	0.000057241558	0.975843668168	N\A	0.075378124712	0.010959204145	0.034405224419	0.006550317364	41	22	
4700000	541.247459	1	-1.690790002023	0.991242633202	-0.020197652825	0.034123144591	-0.001834007979	0.000064182700	0.973763036343	N\A	0.076475140098	0.010560111460	0.035404242746	0.006346765054	44	15	
4750000	547.175918	1	-1.660542772509	0.949147598183	-0.013098099725	0.099044603678	-0.018588783924	0.000061676848	0.976835040220	N\A	0.080509026515	0.011028670784	0.035376553178	0.005874315338	48	21	
4800000	532.173739	1	-1.668644478457	0.940395764855	-0.014314229088	0.099517686691	-0.015758362066	0.000074631841	0.970923335683	N\A	0.083447942873	0.012243180587	0.037546286218	0.007081273077	47	18	
4850000	539.957796	1	-1.900872325018	1.137997138069	-0.043248551818	0.012970230471	0.005810988731	0.000049900829	0.977555610692	N\A	0.078523518545	0.012314480968	0.033153082228	0.006865354752	45	21	
4900000	551.376852	1	-2.098867994067	1.237693623574	-0.052622546431	-0.027293567487	0.009454563330	0.000059705474	0.982060104122	N\A	0.076184144607	0.010538388675	0.034761513521	0.006350077796	51	28	
4950000	545.388347	1	-1.910966945761	1.145296843791	-0.042872638396	0.011380740128	0.003651773589	0.000044136372	0.976570415941	N\A	0.082229133510	0.012567840139	0.033641129289	0.006619111085	53	21	
5000000	548.914286	1	-1.731848333223	0.938221024697	-0.005502190340	0.077906676584	-0.016281420852	0.000073221598	0.977639578770	N\A	0.078710634896	0.011108434278	0.034657587994	0.006362618086	30	27	
5050000	533.410539	1	-1.983483538428	1.207797768930	-0.060202120483	0.009673477572	0.009201680355	0.000089682012	0.978972412195	N\A	0.056948028581	0.009775644541	0.026473660205	0.005637121764	41	22	
5100000	540.104799	1	-2.015205804105	1.215766324580	-0.054234894903	-0.023638679556	0.011311546601	0.000075757795	0.972565329654	N\A	0.076523330106	0.010833158623	0.035836853006	0.006655793006	37	25	
5150000	534.176665	1	-1.962290597663	1.211241987109	-0.067318343815	0.025160528676	0.012449711150	0.000063616525	0.974632785931	N\A	0.084793961941	0.012770730742	0.034854024807	0.006682265559	43	26	
5200000	532.624828	1	-1.891486210639	1.092909780808	-0.025798050865	0.024053204656	-0.007765594239	0.000054777859	0.973225360144	N\A	0.070123540987	0.009046414885	0.034308949230	0.005518044238	38	18	
5250000	552.139993	1	-1.809059937933	1.093715540725	-0.037013557034	0.007066401840	0.003608372278	0.000062495399	0.974397182247	N\A	0.079443389045	0.011855270371	0.033725832580	0.006479905507	57	21	
5300000	551.815411	1	-1.917023249011	1.170075835880	-0.043204406741	-0.017208369974	0.005442086503	0.000045783065	0.974300172450	N\A	0.081257170729	0.012864975659	0.033713753458	0.007026750530	47	23	
5350000	546.411635	1	-1.981769514294	1.215253800749	-0.047648797005	-0.062668590663	0.012454212183	0.000064414108	0.971627609969	N\A	0.087667922181	0.013643986561	0.036506357945	0.007549688942	39	21	
5400000	547.495060	1	-1.994976882073	1.230139724375	-0.056768091373	-0.045897055463	0.016484138423	0.000058567961	0.975365197890	N\A	0.074396463620	0.011029838145	0.031600371989	0.006150574880	43	20	
5450000	530.153098	1	-1.847465369798	1.115101544212	-0.034961662233	-0.015951198819	0.004998092501	0.000065134945	0.973090130600	N\A	0.075467687308	0.009793165986	0.037580428602	0.006436261043	52	20	
5500000	536.722295	1	-1.925445148686	1.121705786945	-0.033960383832	0.009080013324	-0.001657656633	0.000074330913	0.977516310060	N\A	0.071895731074	0.010218735215	0.033567998941	0.006203462398	46	33	
5550000	552.162581	1	-1.932214787347	1.123796088236	-0.045086015381	0.062726532911	-0.001236261414	0.000079264887	0.976679769745	N\A	0.077283537901	0.011240928278	0.033205047182	0.006204551354	50	20	
5600000	532.029661	1	-1.817865360695	1.051370194753	-0.022400493261	0.058064627382	-0.013381309351	0.000051763009	0.974102183584	N\A	0.073496792482	0.010327096074	0.034241841625	0.006244401904	55	24	
5650000	540.030073	1	-2.093568259313	1.284914969440	-0.060493072468	-0.052528890383	0.013217659446	0.000064432068	0.970640085867	N\A	0.087155830522	0.013604745463	0.035875296902	0.007055790240	41	26	
5700000	554.910473	1	-1.949470280870	1.159823513694	-0.041986991569	0.008807080406	0.001806058964	0.000050313504	0.979212597170	N\A	0.076849929956	0.011458943750	0.032754392885	0.006466739945	49	20	
5750000	541.213384	1	-1.925927419705	1.112436523600	-0.032643438786	-0.011980594332	0.004199556220	0.000099280921	0.974303741298	N\A	0.086951655601	0.012737815578	0.035615374343	0.006770175399	41	22	
5800000	552.708613	1	-1.770592367763	1.071615803890	-0.051983392152	0.078096364165	0.006541159252	0.000063323263	0.975388319082	N\A	0.082600002645	0.012121128532	0.035744970374	0.007076320330	43	20	
