Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SCH_d1_m7-fab-002.txt
Log File Name:                   SCH_d1_m7-fab-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            398729887
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SCH_d1_m7-fab-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.179389
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.74 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	
4250000	467.992808	1	-1.392091411489	0.949850054157	0.072560870646	-0.016776784245	0.000061988823	0.962375372393	N\A	0.036535658821	0.032977864928	0.004351756359	24	3	
4300000	458.787106	1	-1.518990662886	1.022556453969	0.015035658003	-0.015945787390	0.000107883285	0.961976868825	N\A	0.033871129641	0.031744392721	0.003945176056	39	2	
4350000	473.708392	1	-1.574680373585	1.031578054715	0.025057738350	-0.015846828065	0.000123277387	0.962179569192	N\A	0.037993102032	0.034387682069	0.003941280867	33	3	
4400000	460.023499	1	-1.474987245550	0.969607935611	0.086841853816	-0.022860922864	0.000123805986	0.960434123424	N\A	0.036834772058	0.032832711196	0.003929498912	41	3	
4450000	469.209258	1	-1.525128553591	1.024888483000	0.010708785698	-0.014437076837	0.000143605793	0.964144967635	N\A	0.037314041770	0.033579864002	0.003967187049	34	2	
4500000	483.219960	1	-1.502539327979	1.014551385972	0.033417862544	-0.017692372719	0.000056310628	0.970927637279	N\A	0.036489198868	0.033061913861	0.004077547453	40	3	
4550000	476.235128	1	-1.471347585711	0.957689570197	0.103314175541	-0.021035518459	0.000126873495	0.961796179681	N\A	0.038827133097	0.035231864738	0.003752978448	40	3	
4600000	470.966710	1	-1.565554159582	1.031838233477	0.022858802479	-0.015794503843	0.000129593676	0.963669250870	N\A	0.036719510477	0.034053120379	0.004014319495	34	3	
4650000	476.003443	1	-1.373757770792	0.934538519049	0.066321433911	-0.011336342808	0.000108816905	0.967826268248	N\A	0.035224522478	0.032194372694	0.003949878446	39	4	
4700000	492.451238	1	-1.521906091939	1.060785631099	-0.063505159192	-0.002242411300	0.000085039743	0.969193630797	N\A	0.034715669976	0.031470971189	0.003853457474	33	8	
4750000	479.857193	1	-1.428764014817	0.963293724000	0.077275008805	-0.019475399695	0.000084527675	0.963692732395	N\A	0.035591354663	0.029822768355	0.003901390001	38	4	
4800000	475.459900	1	-1.556239612088	0.927758941056	0.125494512069	-0.023638487802	0.000098295546	0.963734708982	N\A	0.036382453421	0.032977127691	0.003822655921	40	8	
4850000	468.741625	1	-1.566534014623	1.026664533621	0.025568919942	-0.012900799556	0.000101727690	0.969505580692	N\A	0.031859684892	0.026322905210	0.003683382329	33	3	
4900000	483.124887	1	-1.491331172860	1.030016139886	-0.024566073349	-0.008033416791	0.000104526725	0.970163806842	N\A	0.037468281715	0.033889552115	0.004140493670	42	5	
4950000	477.645334	1	-1.391408787937	0.916416979949	0.128564813661	-0.021215526152	0.000100876058	0.969867785710	N\A	0.030152104466	0.030635838248	0.003778071510	34	4	
5000000	487.773214	1	-1.385726833847	0.931163147143	0.098051360196	-0.018680330901	0.000117466661	0.963460471145	N\A	0.038879569390	0.034414019362	0.003954769005	39	4	
5050000	481.312999	1	-1.378801428522	0.966473526458	0.052930083808	-0.017068414119	0.000090583027	0.968476377767	N\A	0.036214664678	0.032921452555	0.003935909711	39	7	
5100000	475.550150	1	-1.497462694210	0.988037070509	0.070154593573	-0.018793732576	0.000116627120	0.963403108220	N\A	0.037022939476	0.032182030361	0.003875427492	23	6	
5150000	473.687411	1	-1.425416320845	0.957825906646	0.062439110687	-0.013048331869	0.000117501829	0.963678950275	N\A	0.038129496787	0.034037396030	0.003921961482	33	5	
5200000	465.793179	1	-1.320952059086	0.885998433308	0.131197970263	-0.017368739917	0.000125799791	0.961607277273	N\A	0.035988631628	0.030389042799	0.003852417765	39	8	
5250000	481.226102	1	-1.306635187662	0.909798193109	0.085993032276	-0.012748041997	0.000084998852	0.964829132721	N\A	0.036738493853	0.032370453724	0.003407978303	36	5	
