Species_TTOL	PAL	rest_of_brain
Nycteris_grandis	1.204	2.82882341601125
Nycteris_hispida	0.88	2.43216548536531
Nycteris_javanica	0.945	2.65047090615567
Nycteris_macrotis	0.974	2.56570573628551
Nycteris_thebaica	0.925	2.4880134922472
Nyctophilus_geoffroyi	0.817	2.1954325071819
Otomops_martiensseni	1.418	2.85387267955123
Peropteryx_macrotis	0.667	2.18774408447669
Phylloderma_stenops	2.019	3.10305487853701
Phyllostomus_discolor	1.727	3.01289560068157
Phyllostomus_elongatus	1.53	2.91962973558399
Phyllostomus_hastatus	1.814	3.15775224544109
Pipistrellus_javanicus	0.685	2.04743835568333
Pipistrellus_tenuis	0.585	1.94445839594312
Afronycteris_nana	0.64	1.97624949883145
Hypsugo_pulveratus	0.768	2.12583275320563
Perimyotis_subflavus	0.757	2.0689992385851
Pteronotus_gymnonotus	1.049	2.50919392843789
Pteronotus_parnellii_mesoamericanus	1.348	2.71076396835588
Pteronotus_personatus	0.94	2.33437416842607
Rhinolophus_cornutus	0.768	2.26307067478927
Rhinolophus_eloquens	1.199	2.58228368121921
Rhinolophus_hipposideros	0.737	2.14741999328989
Rhinolophus_landeri	1	2.41927248180996
Rhinolophus_lepidus	0.895	2.24246038366786
Rhinolophus_luctus	1.223	2.76563752486781
Rhinolophus_macrotis	0.862	2.29216841823355
Rhinolophus_malayanus	0.862	2.28065583157794
Rhinolophus_megaphyllus	0.938	2.39284327871508
Rhinolophus_pearsonii	1.004	2.49680535567541
Rhinolophus_pusillus	0.801	2.19036275728536
Rhinolophus_trifoliatus	0.981	2.51948592306197
Rhinolophus_yunnanensis	1.161	2.61598611233896
Rhinonicteris_aurantia	0.886	2.36980993185743
Rhinophylla_pumilio	1.34	2.52389337701925
Rhinopoma_hardwickii	1.033	2.41517493551946
Rhinopoma_microphyllum	1.228	2.56167523073907
Rhogeessa_parvula	0.69	2.02540404611476
Rhynchonycteris_naso	0.559	2.04732050651951
Saccopteryx_bilineata	0.877	2.33483311530367
Saccopteryx_canescens	0.569	2.08934484317686
Saccopteryx_leptura	0.704	2.18322541361085
Scotomanes_ornatus	1.201	2.55494722650546
Scotophilus_dinganii	1.185	2.6152095371468
Scotophilus_kuhlii	1.057	2.50605597481635
Sphaeronycteris_toxophyllum	1.382	2.69540272673135
