Species_TTOL	NEO	BOD	BOD2
Murina_huttoni	1.695	0.944	0.891136
Myotis_adversus	1.668	1.049	1.100401
Myotis_albescens	1.312	0.602	0.362404
Myotis_annectans	1.572	0.991	0.982081
Myotis_bechsteinii	1.56	0.978	0.956484
Myotis_bocagii	1.556	0.845	0.714025
Myotis_dasycneme	1.667	1.176	1.382976
Myotis_myotis	1.894	1.408	1.982464
Myotis_nigricans	1.362	0.663	0.439569
Myotis_siligorensis	1.21	0.539	0.290521
Natalus_tumidirostris	1.741	0.839	0.703921
Noctilio_albiventris	2.265	1.515	2.295225
Noctilio_leporinus	2.558	1.763	3.108169
Nyctalus_noctula	1.74	1.431	2.047761
Nycteris_arge	1.953	1.025	1.050625
Nycteris_grandis	2.272	1.474	2.172676
Nycteris_hispida	1.843	0.892	0.795664
Nycteris_javanica	2.089	1.265	1.600225
Nycteris_macrotis	2.009	1.161	1.347921
Nycteris_thebaica	1.933	0.949	0.900601
Nyctophilus_geoffroyi	1.502	0.857	0.734449
Otomops_martiensseni	2.186	1.618	2.617924
Peropteryx_macrotis	1.486	0.748	0.559504
Phylloderma_stenops	2.542	1.664	2.768896
Phyllostomus_discolor	2.495	1.563	2.442969
Phyllostomus_elongatus	2.355	1.652	2.729104
Phyllostomus_hastatus	2.642	1.963	3.853369
Pipistrellus_javanicus	1.265	0.653	0.426409
Pipistrellus_tenuis	1.158	0.591	0.349281
Afronycteris_nana	1.196	0.591	0.349281
Hypsugo_pulveratus	1.354	0.724	0.524176
Perimyotis_subflavus	1.22	0.724	0.524176
Pteronotus_gymnonotus	1.89	1.134	1.285956
Pteronotus_parnellii_mesoamericanus	2.078	1.305	1.703025
Pteronotus_personatus	1.699	0.908	0.824464
Rhinolophus_cornutus	1.574	0.82	0.6724
Rhinolophus_eloquens	1.884	1.281	1.640961
Rhinolophus_hipposideros	1.279	0.663	0.439569
Rhinolophus_landeri	1.704	0.987	0.974169
Rhinolophus_lepidus	1.513	0.778	0.605284
Rhinolophus_luctus	2.132	1.516	2.298256
Rhinolophus_macrotis	1.511	0.799	0.638401
