Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  AMY_d1_m9-VR-004.txt
Log File Name:                   AMY_d1_m9-VR-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2961514695
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   AMY_d1_m9-VR-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Branch	No RJ Local Node	
5150000	490.803312	1	-1.959899062632	1.473382003462	-0.108581945376	-0.010860831730	0.015694834671	0.000128155311	0.965217118967	N\A	0.085637273063	0.011441849940	0.040179986735	0.007532927632	39	22	
5200000	485.849384	1	-1.577494971631	1.210591666776	-0.072534601893	0.030634483183	0.009383829735	0.000108007533	0.962381072133	N\A	0.088439192272	0.013572912615	0.041293758115	0.008422887956	35	33	
5250000	472.793002	1	-1.493948049735	1.148738786526	-0.064566042974	0.064717856288	0.001640553718	0.000114254613	0.958598029501	N\A	0.095316300603	0.014164578162	0.041089329907	0.008133995899	46	28	
5300000	484.826262	1	-1.580254705481	1.156534124267	-0.056424662601	0.042807332970	0.000618502460	0.000117663889	0.964472442658	N\A	0.096017778721	0.013442937347	0.042587012883	0.007831375203	49	26	
5350000	467.296390	1	-1.701973979195	1.277271861199	-0.074600388397	0.021961663685	0.003411954909	0.000171778469	0.958155424607	N\A	0.103626307329	0.015690931556	0.043295936261	0.008518513394	47	28	
5400000	508.040141	1	-1.447778363808	1.090862104062	-0.054265759339	0.096201939855	-0.005613341031	0.000086921284	0.964260309477	N\A	0.097848339382	0.013089353557	0.043872686377	0.007976563564	45	18	
5450000	494.687932	1	-1.549528351947	1.145960478069	-0.052823222255	0.037386116722	-0.001442500832	0.000085010924	0.974223912127	N\A	0.079697726980	0.011838402841	0.028901643635	0.006236955512	43	34	
5500000	483.863080	1	-1.761416541649	1.330836078855	-0.075359911083	-0.063879146663	0.016649858687	0.000123957286	0.965212282426	N\A	0.088034782452	0.010920646698	0.044248073742	0.007151049221	46	27	
5550000	477.496011	1	-1.730873369353	1.245777116723	-0.060880617786	0.037348310942	-0.005820748649	0.000092974136	0.958717664589	N\A	0.095848136375	0.013522306698	0.043490014350	0.007863924685	57	21	
5600000	489.324821	1	-1.649526712726	1.257012362287	-0.073000618757	-0.020394401296	0.018370292187	0.000105022866	0.959485859729	N\A	0.106646154974	0.015248993705	0.047637495975	0.008921433565	57	17	
5650000	482.233750	1	-1.551043752217	1.181103650314	-0.059929655703	0.008678952036	0.008240876904	0.000114022522	0.958417369107	N\A	0.103114206645	0.014632574770	0.044557766191	0.008362360467	57	26	
5700000	483.166078	1	-1.716640752220	1.282304369340	-0.075899090336	0.003944164987	0.010667678116	0.000109998006	0.956558387336	N\A	0.097958479690	0.013653487042	0.043843003629	0.007614537819	33	19	
5750000	494.709534	1	-1.568344804391	1.195657811757	-0.063661040591	0.031597057725	0.002813191389	0.000068243338	0.970654974770	N\A	0.083987248737	0.012340151952	0.033169391427	0.007281262658	49	25	
5800000	482.459798	1	-1.374875290286	1.064743393716	-0.043823229469	0.022606287199	0.004628027152	0.000099943529	0.961037345988	N\A	0.094003550525	0.013101675509	0.042741366252	0.007882505786	52	27	
