Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  STR_d1_m9-VR-002.txt
Log File Name:                   STR_d1_m9-VR-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            4129904833
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   STR_d1_m9-VR-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Branch	No RJ Local Node	
4800000	536.642932	1	-1.571520898951	1.195594169435	-0.013548846224	-0.146645137349	0.016065789842	0.000145202142	0.980920871311	N\A	0.089728711526	0.013013690526	0.038936158611	0.007510669942	57	30	
4850000	529.747437	1	-1.354298986037	0.965310665457	0.025686509103	-0.018370228213	-0.019511443735	0.000160872275	0.977983990132	N\A	0.096652636923	0.013691220609	0.040857208739	0.007636434289	37	27	
4900000	523.820484	1	-1.576390293275	1.179460185966	-0.006508572279	-0.145226243249	0.009379497408	0.000190730031	0.979245407181	N\A	0.094460429901	0.013648104040	0.039519201842	0.007606660607	43	21	
4950000	533.610018	1	-1.733353515288	1.330575991601	-0.038713168927	-0.165921514573	0.023866957190	0.000115500961	0.975281108174	N\A	0.076532244579	0.009773075073	0.036977514337	0.006028489053	44	25	
5000000	529.697760	1	-1.709957730767	1.261737212782	-0.025606631105	-0.121827053153	0.016400529005	0.000156524092	0.983042702132	N\A	0.096853421564	0.013493269023	0.041626872322	0.007831015987	34	36	
5050000	537.285628	1	-1.515227819074	1.098982481112	0.005647654151	-0.087736033233	0.000089067535	0.000138618753	0.978877898750	N\A	0.089666770380	0.012902758048	0.039197035516	0.007629511147	41	24	
5100000	515.389091	1	-1.495042460258	1.123755885090	-0.008066452516	-0.093293393883	0.010298138898	0.000091782409	0.974806129701	N\A	0.093356221094	0.013722789567	0.041342062114	0.008225610516	55	22	
5150000	540.928848	1	-1.433860641009	1.050056402838	0.006369866895	-0.049979361075	-0.001531738241	0.000138633450	0.985732845331	N\A	0.085082257728	0.013270215600	0.032691849647	0.007307611944	42	24	
5200000	530.931202	1	-1.501689700689	1.137902474187	-0.013720812314	-0.078630015162	0.011397549447	0.000099003026	0.976368551075	N\A	0.097217867307	0.013642985052	0.041488667449	0.007646247480	40	29	
5250000	540.475736	1	-1.551947848500	1.165981485796	-0.009855630357	-0.106858810242	0.010186151653	0.000111214323	0.980928605614	N\A	0.091249697373	0.012945603620	0.039348929598	0.007527223064	46	25	
5300000	530.324336	1	-1.737400436245	1.305844826547	-0.029993099184	-0.178357599094	0.023858332665	0.000230559131	0.980386256251	N\A	0.082165349355	0.011114403045	0.037530004253	0.006716283924	39	22	
5350000	518.287457	1	-1.570611525738	1.186314963229	-0.023354305004	-0.077964809471	0.013318635404	0.000161891272	0.981214240627	N\A	0.089285394596	0.013275792308	0.038605333811	0.007880576538	51	34	
5400000	533.411220	1	-1.311596035267	0.970697697611	0.018056258113	-0.016238660162	-0.011991418144	0.000181702177	0.982279251809	N\A	0.084060781882	0.011965651229	0.037397897032	0.007018782537	55	21	
