Species_TTOL	HIP	rest_of_brain	BOD
Pteronotus_parnellii_mesoamericanus	1.539	2.71076396835588	1.86328760196422
Pteronotus_personatus	1.111	2.33437416842607	1.86328760196422
Rhinolophus_cornutus	1.161	2.26307067478927	1.86328760196422
Rhinolophus_eloquens	1.459	2.58228368121921	1.86328760196422
Rhinolophus_hipposideros	1.134	2.14741999328989	1.86328760196422
Rhinolophus_landeri	1.281	2.41927248180996	1.86328760196422
Rhinolophus_lepidus	1.104	2.24246038366786	1.86328760196422
Rhinolophus_luctus	1.534	2.76563752486781	1.86328760196422
Rhinolophus_macrotis	1.286	2.29216841823355	1.86328760196422
Rhinolophus_malayanus	1.155	2.28065583157794	1.86328760196422
Rhinolophus_megaphyllus	1.322	2.39284327871508	1.86328760196422
Rhinolophus_pearsonii	1.405	2.49680535567541	1.86328760196422
Rhinolophus_pusillus	1.097	2.19036275728536	1.86328760196422
Rhinolophus_trifoliatus	1.362	2.51948592306197	1.86328760196422
Rhinolophus_yunnanensis	1.515	2.61598611233896	1.86328760196422
Rhinonicteris_aurantia	1.283	2.36980993185743	1.86328760196422
Rhinophylla_pumilio	1.481	2.52389337701925	1.86328760196422
Rhinopoma_hardwickii	1.207	2.41517493551946	1.86328760196422
Rhinopoma_microphyllum	1.412	2.56167523073907	1.86328760196422
Rhogeessa_parvula	0.812	2.02540404611476	1.86328760196422
Rhynchonycteris_naso	0.739	2.04732050651951	1.86328760196422
Saccopteryx_bilineata	1.086	2.33483311530367	1.86328760196422
Saccopteryx_canescens	0.832	2.08934484317686	1.86328760196422
Saccopteryx_leptura	0.937	2.18322541361085	1.86328760196422
Scotomanes_ornatus	1.438	2.55494722650546	1.86328760196422
Scotophilus_dinganii	1.356	2.6152095371468	1.86328760196422
Scotophilus_kuhlii	1.27	2.50605597481635	1.86328760196422
Sphaeronycteris_toxophyllum	1.509	2.69540272673135	1.86328760196422
Sturnira_lilium	1.66	2.7664442150746	1.86328760196422
Sturnira_ludovici	1.694	2.79971581818209	1.86328760196422
Sturnira_tildae	1.733	2.82056767486967	1.86328760196422
Tadarida_aegyptiaca	1.36	2.56759514736225	1.86328760196422
Taphozous_australis	1.407	2.68911434548403	1.86328760196422
Taphozous_hildegardeae	1.405	2.71134274302204	1.86328760196422
Taphozous_mauritianus	1.405	2.71797961523504	1.86328760196422
Taphozous_melanopogon	1.375	2.70480831622297	1.86328760196422
Tonatia_bidens	1.62	2.87212442061372	1.86328760196422
Lophostoma_schulzi	1.207	2.67681030271887	1.86328760196422
Trachops_cirrhosus	1.704	2.97719852358353	1.86328760196422
Triaenops_persicus	1.241	2.41026109600416	1.86328760196422
Tylonycteris_pachypus	0.643	1.87843900376487	1.86328760196422
Tylonycteris_robustula	0.793	2.03440793493338	1.86328760196422
Uroderma_bilobatum	1.63	2.76341624316696	1.86328760196422
Vampyressa_pusilla	1.438	2.55572901399533	1.86328760196422
Vampyrum_spectrum	2.043	3.38883839645361	1.86328760196422
Alouatta_seniculus	3.121	4.69064476860801	1.86328760196422
Aotus_trivirgatus	2.732	4.20956514451613	1.86328760196422
Ateles_geoffroyi	3.135	5.00423671459412	1.86328760196422
Avahi_laniger	2.721	3.99079117597203	1.86328760196422
