Species_TTOL	CEREB	rest_of_brain	BOD
Plecturocebus_moloch	3.21	4.24999973790912	2.954
Callimico_goeldii	3.093	4.02141427425862	2.681
Callithrix_jacchus	2.879	3.86010428447601	2.447
Cebuella_pygmaea	2.67	3.63358773263483	2.146
Cebus_albifrons	3.896	4.8258408678735	3.491
Cercopithecus_ascanius	3.766	4.80297404128273	3.531
Cercopithecus_mitis_mitis	3.83	4.84835244065239	3.799
Cheirogaleus_major	2.976	3.80396492768725	2.653
Cheirogaleus_medius	2.64	3.4708780230274	2.248
Daubentonia_madagascariensis	3.81	4.6294722319675	3.447
Erythrocebus_patas	3.941	5.01330305301563	3.892
Eulemur_fulvus_fulvus	3.522	4.34468914865517	3.146
Galago_senegalensis	2.827	3.65384583826705	2.27
Galagoides_demidoff	2.616	3.50526524207999	1.908
Gorilla_gorilla	4.84	5.67214160105073	5.021
Homo_sapiens	5.138	6.09769523952942	4.813
Hylobates_lar	4.082	4.98887970833346	3.756
Indri_indri	3.741	4.55944787748954	3.796
Lagothrix_lagotricha	4.052	4.980177796679	3.716
Lepilemur_mustelinus	3.066	3.85550540645094	2.961
Lophocebus_albigena	4.03	4.9893093148895	3.898
Loris_tardigradus_tardigradus	2.862	3.79701647977618	2.508
Macaca_mulatta	3.953	4.94427327976376	3.892
Microcebus_murinus	2.369	3.22499777943092	1.732
Miopithecus_talapoin	3.528	4.57720824492106	3.079
Nasalis_larvatus	4.083	4.97211427746941	4.146
Nycticebus_coucang	3.117	4.07016900764897	2.903
Otolemur_crassicaudatus	3.15	3.98509131950917	2.929
Pan_troglodytes	4.64	5.58232825551133	4.663
Papio_cynocephalus	4.271	5.28121407692444	4.398
Perodicticus_potto	3.23	4.12079897970986	3.061
Pithecia_monachus	3.592	4.51688705271499	3.176
Piliocolobus_badius	3.937	4.86832778778568	3.845
Propithecus_verreauxi	3.597	4.40135338583513	3.542
Pygathrix_nemaeus	3.906	4.86047259819674	3.875
Saguinus_midas	3.026	3.98108200720884	2.531
Saguinus_oedipus	2.993	3.97903342592802	2.58
Saimiri_sciureus_sciureus	3.354	4.35321967494396	2.82
Tarsius_tarsier	2.631	3.53020840861181	2.097
Varecia_variegata	3.632	4.47260429620756	3.477
