Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  NEO_d1_m8-fab-004.txt
Log File Name:                   NEO_d1_m8-fab-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1836151085
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   NEO_d1_m8-fab-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.036913
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.86 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	
4550000	654.341842	1	-0.581401871629	1.295520254138	-0.017083621699	-0.052632953682	0.000116091202	0.992681985682	N\A	0.026429907874	0.002634326793	0.009785036504	39	7	
4600000	664.186946	1	-0.543135557230	1.275124822351	-0.014697874420	-0.055371778305	0.000052871184	0.993383170297	N\A	0.026532051685	0.002472177697	0.009901280527	39	10	
4650000	665.941894	1	-0.584507402476	1.258464533101	-0.015618772184	-0.031072674038	0.000026159338	0.993270773000	N\A	0.025426505670	0.002492121392	0.009012019716	44	10	
4700000	665.581129	1	-0.520254958766	1.213197318743	-0.012293156800	-0.019404327810	0.000020160809	0.994565508701	N\A	0.023603271807	0.002182926991	0.007986596537	41	11	
4750000	658.800010	1	-0.488600359551	1.204153591948	-0.010517929831	-0.025068556510	0.000046507351	0.994291928366	N\A	0.025587534255	0.002295501934	0.009309218376	42	8	
4800000	655.346189	1	-0.744183713964	1.248730568545	-0.011017517404	-0.058927486040	0.000045525876	0.991892719013	N\A	0.027963492053	0.002792063577	0.010990853814	37	9	
4850000	667.105614	1	-0.654740870486	1.223855983421	-0.013252533292	-0.028543710286	0.000076138428	0.993322248432	N\A	0.026390434758	0.002578438300	0.009489514689	37	9	
4900000	664.129796	1	-0.496027924164	1.220127790847	-0.011969805365	-0.034655793204	0.000047646075	0.993481017854	N\A	0.023993380313	0.002410551112	0.008554091058	27	11	
4950000	682.721240	1	-0.396220146160	1.150897747337	-0.005296596038	-0.023169461027	0.000032967120	0.993738783446	N\A	0.024969768310	0.002459939755	0.009392960830	48	13	
5000000	656.969777	1	-0.474509141658	1.215498217347	-0.011371217364	-0.035113285417	0.000031832749	0.994854247322	N\A	0.024136503241	0.002217392211	0.008097321217	38	9	
5050000	651.572506	1	-0.474278662481	1.243735275457	-0.014222004779	-0.048793094300	0.000135508504	0.992454017238	N\A	0.028302275095	0.002687845657	0.010989116037	35	9	
5100000	657.952845	1	-0.531352201515	1.217706795541	-0.010926752612	-0.040204099286	0.000147491669	0.994604022517	N\A	0.026771879692	0.002690897267	0.009747305106	46	11	
5150000	662.192215	1	-0.605673258815	1.236051980703	-0.011723601790	-0.046292717365	0.000063077559	0.992706022699	N\A	0.026834733323	0.002704556580	0.010530431539	39	11	
5200000	660.172708	1	-0.531788992552	1.218582016048	-0.011035450722	-0.037053145773	0.000080259423	0.993310124534	N\A	0.027134716631	0.002591263075	0.010322746211	41	9	
5250000	671.697568	1	-0.587211376688	1.269119491527	-0.014821146561	-0.051674927487	0.000062722513	0.994365742310	N\A	0.024322864923	0.002248218693	0.008706092665	44	10	
5300000	661.758556	1	-0.430468073251	1.300007641870	-0.015131462746	-0.070117210701	0.000020834013	0.992551483200	N\A	0.028491273383	0.002833867629	0.010752126207	42	9	
5350000	655.248669	1	-0.282672220559	1.253769129504	-0.013245151373	-0.047287100925	0.000170901158	0.993884183072	N\A	0.026210559787	0.002434317253	0.009091487765	34	9	
5400000	664.241955	1	-0.221314043804	1.224015942891	-0.012066554297	-0.043493673207	0.000049003044	0.994995273751	N\A	0.024247575925	0.002239430420	0.007956583911	46	10	
5450000	659.126359	1	-0.308581534611	1.215007266732	-0.009205541749	-0.047635939103	0.000043738550	0.994831703345	N\A	0.023780171146	0.002133499355	0.008426348893	47	11	
5500000	661.372969	1	-0.481780991257	1.262520147028	-0.015865347840	-0.034263624172	0.000042578729	0.994536183367	N\A	0.025279957728	0.002352374203	0.008645338698	36	9	
5550000	668.565342	1	-0.389149565138	1.216981380273	-0.011523344316	-0.027578508332	0.000036269540	0.993120013742	N\A	0.027089724417	0.002597494522	0.010239886248	43	11	
5600000	654.292292	1	-0.508035361212	1.216589519539	-0.011178119649	-0.034745001639	0.000059908486	0.993734707929	N\A	0.027879970440	0.002437113724	0.009436819460	42	9	
5650000	670.911946	1	-0.522984997538	1.178879002855	-0.007223523826	-0.025161404142	0.000062513862	0.993194578400	N\A	0.027325405095	0.002658545798	0.009758557510	36	9	
5700000	654.563039	1	-0.520272175716	1.216749396603	-0.010004776940	-0.043628758555	0.000067711292	0.992615214518	N\A	0.027861679525	0.002603590267	0.010210648540	43	8	
5750000	656.065661	1	-0.527547493032	1.217605604198	-0.011510779495	-0.037002040118	0.000051162199	0.991865320286	N\A	0.029270199954	0.003023786895	0.011717979626	36	10	
5800000	657.477219	1	-0.498650594357	1.204811526937	-0.010030299676	-0.036178355644	0.000079372980	0.994621111321	N\A	0.024278107651	0.002184278216	0.008201435207	50	9	
