Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  PAL_d1_m9-fab-002.txt
Log File Name:                   PAL_d1_m9-fab-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1591381474
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   PAL_d1_m9-fab-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.207006
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.72 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	
4450000	460.785909	1	-1.503293083612	1.369293194411	-0.073788294863	0.007893946939	0.006104690098	0.000310899295	0.958382716215	N\A	0.085175992273	0.012187057614	0.040649406126	0.007644953315	31	13	
4500000	448.784860	1	-1.638925193383	1.531778379296	-0.097260066255	-0.117958357215	0.029783658280	0.000115855269	0.960187076151	N\A	0.098627378865	0.013499194472	0.046707006011	0.008462201510	40	14	
4550000	474.341157	1	-1.496794638874	1.433583085591	-0.085599679389	-0.055072344390	0.018408688865	0.000278965414	0.960833299738	N\A	0.082200396174	0.011822371778	0.041039701723	0.007504620071	39	15	
4600000	460.386468	1	-1.390331220910	1.332850754400	-0.069887454669	-0.024930488269	0.012705186765	0.000274721796	0.960510106388	N\A	0.088382246798	0.014237760177	0.037185274451	0.007874078088	44	11	
4650000	472.412775	1	-1.654848040757	1.543099539830	-0.083423975091	-0.105224005267	0.012937870878	0.000173305363	0.963575902479	N\A	0.087030660406	0.013299246160	0.037625071635	0.007125310768	40	18	
4700000	473.139648	1	-1.289685210557	1.268612189643	-0.042127390246	-0.048493874466	0.000603693135	0.000105643627	0.961866035994	N\A	0.096174569261	0.015417380296	0.040224312252	0.008242277827	43	13	
4750000	441.074057	1	-1.423623366862	1.440608939567	-0.084761124998	-0.033986228471	0.010350390082	0.000039937489	0.954751086440	N\A	0.141616459506	0.020912959504	0.054497561857	0.010951765707	44	10	
4800000	445.728138	1	-1.182465374632	1.187692102519	-0.034979914040	-0.018492037748	-0.004041245684	0.000069985807	0.950932228956	N\A	0.109620317940	0.014484312616	0.052111506974	0.008984926230	39	9	
4850000	450.745839	1	-0.958102297001	1.058704629123	-0.036452378370	0.069240767476	-0.002277030792	0.000168548463	0.951529627262	N\A	0.132632508590	0.019053966124	0.054950773441	0.010574429804	34	12	
4900000	424.757934	1	-1.229356699995	1.227437545765	-0.036400932306	-0.065039164242	0.004327824223	0.000241261427	0.947038008207	N\A	0.123357596227	0.018286160672	0.050849351616	0.009773567345	39	7	
4950000	442.501391	1	-0.896866553322	1.000218400669	-0.023625971755	0.109342358061	-0.011885558081	0.000141278486	0.957335910705	N\A	0.107022694892	0.015886172059	0.046887737213	0.009104538243	40	10	
5000000	446.099675	1	-1.027121920209	1.058007186607	-0.017680423491	0.052945543082	-0.012267594355	0.000069657545	0.960953228425	N\A	0.095942783968	0.010535422757	0.047620953655	0.006699063808	36	10	
5050000	450.868604	1	-1.254099858439	1.314573145315	-0.072283576713	-0.029483167540	0.017678445314	0.000075488714	0.957490685520	N\A	0.082388708490	0.010183295713	0.042349536144	0.006930024212	32	13	
5100000	481.221041	1	-1.707329362467	1.530518554383	-0.090227976600	-0.089976009794	0.017898065753	0.000132287989	0.961277827987	N\A	0.078835530905	0.010098798148	0.039752910034	0.006645763449	32	17	
5150000	473.057923	1	-1.735141342006	1.659759298925	-0.116643942990	-0.148781913962	0.036251510923	0.000215090685	0.977110265250	N\A	0.080169376509	0.011996196291	0.028125764516	0.006510840429	36	14	
5200000	475.288089	1	-1.234708845820	1.267808657771	-0.063562764134	0.028408792325	0.003266453478	0.000160413130	0.966190496703	N\A	0.078233178912	0.010530490234	0.036092778934	0.006761703221	33	17	
5250000	466.905420	1	-1.299293111219	1.321803890383	-0.067964100857	-0.018678746761	0.010913208933	0.000168405081	0.960913080431	N\A	0.108031890659	0.015792968755	0.046818757636	0.009171032701	59	15	
5300000	419.727961	1	-1.474423882954	1.408603381342	-0.078150132187	-0.055053775704	0.018592487553	0.000165219484	0.948584077009	N\A	0.123440001997	0.016897173917	0.055946989026	0.009728850570	43	7	
