Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  DIE_d1_m9-fab-005.txt
Log File Name:                   DIE_d1_m9-fab-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            257253371
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   DIE_d1_m9-fab-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.175894
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.74 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	
4450000	731.104818	1	-0.793047373826	0.774776348092	0.024449288447	0.118355722894	-0.017650090379	0.000018575364	0.993394321959	N\A	0.049049409884	0.007378317610	0.020511485839	0.004107130612	38	5	
4500000	734.389665	1	-0.897309459985	0.849569330370	0.019521259285	0.073566046524	-0.015324932819	0.000026919592	0.991836721940	N\A	0.047557694782	0.006917135324	0.021132196308	0.003973791657	41	4	
4550000	735.499564	1	-0.783207597754	0.773144215524	0.021590238403	0.131760691355	-0.017740582107	0.000023524604	0.993125923139	N\A	0.054127548858	0.008604760957	0.020768532953	0.004645016284	43	3	
4600000	729.045825	1	-0.813696457549	0.783962790355	0.022192971669	0.132506212601	-0.021204157280	0.000034923181	0.991579915841	N\A	0.049147140046	0.007085375273	0.022129353386	0.004138575901	36	4	
4650000	741.819842	1	-0.927437524782	0.872443238885	0.008299877403	0.102339219639	-0.012441646019	0.000023739811	0.993004304902	N\A	0.053319226798	0.008035240029	0.022245375727	0.004575253622	40	4	
4700000	735.782110	1	-1.015189559421	0.967562294878	-0.007263158474	0.054670651640	-0.001675937724	0.000023029681	0.992918286350	N\A	0.053541295708	0.008532598604	0.021397290871	0.004772671097	34	3	
4750000	727.986319	1	-0.950446704045	0.894642525815	0.002474295479	0.108820752106	-0.011969951571	0.000023925830	0.992142685514	N\A	0.046667141962	0.006319329621	0.021829357986	0.003904603873	24	4	
4800000	730.389322	1	-0.852028590642	0.843251508875	0.007846311209	0.120295686022	-0.012448282013	0.000029561281	0.992740091733	N\A	0.057376391985	0.008635566414	0.023026649852	0.004771550664	33	3	
4850000	723.536587	1	-1.112644683254	1.019754731584	-0.012453902277	0.049233099270	-0.003779504221	0.000027627359	0.991409784505	N\A	0.056613811855	0.008049443553	0.024595429465	0.004547977104	35	3	
4900000	728.868916	1	-0.952133201707	0.878165254009	0.015227255744	0.084744171488	-0.017413859240	0.000020071888	0.992536088369	N\A	0.055566868374	0.008393977310	0.021962323025	0.004408933482	33	3	
4950000	738.318514	1	-0.977989903404	0.930729839656	-0.002176573410	0.070151360400	-0.004312834127	0.000025067818	0.993176437537	N\A	0.049358378510	0.007360483185	0.021376418680	0.004318049096	26	4	
5000000	728.892911	1	-0.946480322054	0.873697474998	0.014010434211	0.080540671530	-0.013171174274	0.000026085716	0.992883607026	N\A	0.053912485815	0.007907255612	0.022886916607	0.004505832704	38	4	
5050000	719.958489	1	-1.001322711839	0.957999013342	-0.007379448521	0.071483872146	-0.005333356766	0.000024885962	0.991962928782	N\A	0.058409985534	0.008113190533	0.025238059166	0.004566514216	33	3	
5100000	727.581335	1	-0.825917062994	0.793680859702	0.020196351104	0.131870297055	-0.018946191273	0.000029123583	0.992645210742	N\A	0.056043985163	0.008815798805	0.021376916405	0.004524588689	33	3	
5150000	717.759014	1	-0.887002248914	0.833847422865	0.015035054191	0.115351931329	-0.016031284464	0.000019229400	0.992987392033	N\A	0.056611889607	0.008987935876	0.021866104762	0.004794177038	39	3	
5200000	734.652971	1	-0.928719526510	0.887649503272	0.008603403497	0.076154880734	-0.010555294588	0.000028770371	0.992362648793	N\A	0.055735094415	0.008676151598	0.022343141462	0.004649817183	39	3	
5250000	724.551272	1	-0.853820939494	0.796869034413	0.023481713329	0.126171275693	-0.021412857348	0.000024139784	0.992661551183	N\A	0.047764148880	0.006984540458	0.020630581428	0.003980717857	32	5	
5300000	733.006823	1	-0.864482833589	0.847504505995	0.010466081266	0.096947759616	-0.011633725945	0.000025887334	0.992600962531	N\A	0.053549644789	0.008341761991	0.021980764164	0.004687527293	33	4	
5350000	731.782991	1	-0.887492341922	0.850576105492	0.016810538808	0.074825537370	-0.012467177258	0.000019619604	0.992883086920	N\A	0.058931338025	0.009103241356	0.022672970928	0.004660277686	28	3	
5400000	726.114683	1	-1.051839092409	0.952998622417	-0.004066489236	0.110477255955	-0.015633063735	0.000031801474	0.992047328304	N\A	0.044920305996	0.005686349382	0.022078093678	0.003608416932	41	4	
5450000	738.268454	1	-0.950668140949	0.882815617613	0.011221111312	0.081124646049	-0.012426237812	0.000008042635	0.992534081385	N\A	0.050919340649	0.007505450008	0.021610083315	0.004311532910	43	4	
5500000	736.049317	1	-0.998131736547	0.943173809985	-0.000349445503	0.057670289656	-0.006188115301	0.000025790357	0.992557207696	N\A	0.055697300996	0.008802306773	0.021873876945	0.004720475412	42	3	
5550000	736.973338	1	-1.019418002186	0.974261453187	-0.009358206405	0.050965530745	0.000625530865	0.000019604701	0.993111748365	N\A	0.053917230892	0.008385617662	0.021366230574	0.004551123480	37	4	
5600000	721.976336	1	-1.004476414974	0.957597170272	-0.006218253048	0.065908531769	-0.005516073310	0.000026406534	0.991668052675	N\A	0.050679669355	0.007488495819	0.022591960737	0.004591700767	38	4	
5650000	719.853838	1	-1.197029884575	1.098125197999	-0.025916236407	0.015090562666	0.005868877815	0.000024563993	0.991157335619	N\A	0.055107468173	0.007682521561	0.023025407473	0.004348271034	33	4	
5700000	721.916828	1	-1.033013498573	0.975484039496	-0.007947296368	0.061870017220	-0.005495799147	0.000026635124	0.991762411287	N\A	0.049804616135	0.007392252331	0.021586238639	0.004193340340	35	3	
5750000	736.442588	1	-0.951944135458	0.899450536287	0.006771717780	0.081478523158	-0.012121206452	0.000021078305	0.992732736894	N\A	0.051825858551	0.007373176232	0.022396530263	0.004118031028	40	4	
