Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MOB_d1_m7-glob-001.txt
Log File Name:                   MOB_d1_m7-glob-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2252034554
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MOB_d1_m7-glob-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.114840
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.79 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	Global Trend	
4550000	318.639305	1	-0.654028684086	0.749938494678	0.297060091777	-0.037828950968	0.000385110554	0.992541812824	N\A	0.033801084964	0.036773944452	0.005144081294	35	22	0.091652163322	Global Trend	
4600000	290.514411	1	-0.725521629104	0.809470627601	0.218284763605	-0.023009385104	0.000269264475	0.999509055498	N\A	0.043156232202	0.047494347029	0.005548360360	42	15	0.176708493386	Global Trend	
4650000	317.793393	1	-0.900265464430	0.921523184460	0.090842230881	-0.013463047825	0.000258493850	0.999843612196	N\A	0.037732531509	0.041793922302	0.005133482408	48	21	-0.300305249090	Global Trend	
4700000	315.625848	1	-0.742475617834	0.761041426621	0.273206247505	-0.031212700888	0.000403536736	0.999442597278	N\A	0.029734884503	0.033301652890	0.004827745640	48	20	0.285591257451	Global Trend	
4750000	299.201084	1	-0.863064467902	0.842208582720	0.209313770356	-0.029836981566	0.000398789043	0.944016005114	N\A	0.053009975880	0.053106297209	0.006121182303	44	18	0.016221610950	Global Trend	
4800000	333.118028	1	-0.621871271376	0.797578131227	0.209477337616	-0.018139133722	0.000207240238	0.997172823803	N\A	0.036513780356	0.039930677856	0.004443539007	42	22	-0.065321465323	Global Trend	
4850000	316.537680	1	-0.797893232241	0.856617842483	0.171625699462	-0.025436704645	0.000288509275	0.999594881108	N\A	0.037413668787	0.040887062328	0.004517051599	46	22	0.204849485720	Global Trend	
4900000	288.019455	1	-1.009060304354	0.762978304549	0.272773646983	-0.034094146081	0.000292632582	0.999735720627	N\A	0.046054752039	0.050249325458	0.005283172193	44	18	0.242648295989	Global Trend	
4950000	319.488431	1	-0.835804300322	0.716334994250	0.281333344716	-0.015915480849	0.000282029454	0.987516290675	N\A	0.016704553707	0.019280960163	0.002451426150	39	27	0.033975165298	Global Trend	
5000000	326.720392	1	-0.564322846207	0.817398772240	0.216020930217	-0.026808191465	0.000299673419	0.999253306082	N\A	0.032708023797	0.035442903978	0.003907935859	44	22	0.179166028185	Global Trend	
5050000	302.616462	1	-0.848305610929	0.810853359447	0.181788233951	-0.013695284542	0.000480303147	0.926697957125	N\A	0.045109673191	0.041884522808	0.005753577223	42	21	0.016187282737	Global Trend	
5100000	325.500393	1	-0.856135249783	0.837317102347	0.183003537605	-0.020737456813	0.000239869287	0.999923604257	N\A	0.045038345587	0.049378202138	0.005316406438	32	23	-0.493008206077	Global Trend	
5150000	319.331660	1	-0.490973378850	0.716079485481	0.243113617225	-0.010203201928	0.000276372780	0.971208397801	N\A	0.038327518345	0.042029815356	0.004905648515	41	22	-0.019301066352	Global Trend	
5200000	334.481883	1	-0.789242385743	0.800447963681	0.227593955629	-0.026349895627	0.000131679806	0.999012200093	N\A	0.040641706369	0.044453410035	0.005045467546	46	26	0.079885671641	Global Trend	
5250000	337.267040	1	-0.878364304944	0.776535089811	0.226198408082	-0.028536726286	0.000436011744	0.978340995757	N\A	0.033413520122	0.035003747967	0.003800168910	39	26	-0.049411052218	Global Trend	
5300000	324.457332	1	-0.694089311840	0.685703471113	0.328741709000	-0.024142273302	0.000326837243	0.992244918654	N\A	0.038930119203	0.042185114959	0.005316010379	43	29	-0.050787143893	Global Trend	
5350000	308.306892	1	-0.675529884527	0.755918215916	0.281981370422	-0.031314795671	0.000253667739	0.999292199643	N\A	0.037622095070	0.041473240127	0.004965829937	46	21	0.147832602786	Global Trend	
5400000	329.197312	1	-0.704769335466	0.810474609690	0.223201410043	-0.029429401903	0.000241887666	0.999465697858	N\A	0.027863836349	0.030507830166	0.003813048385	39	24	0.183410843423	Global Trend	
5450000	296.013932	1	-0.664138830930	0.764982437506	0.277030801762	-0.035066283633	0.000280615232	0.999143685905	N\A	0.045815141079	0.050876802315	0.006100572011	46	16	0.140796520081	Global Trend	
5500000	307.726426	1	-0.676414436585	0.735245762068	0.305229480604	-0.038670656544	0.000260990614	0.999710035478	N\A	0.036182176249	0.040097541120	0.005009908078	34	21	0.305326591046	Global Trend	
5550000	316.892892	1	-0.584890309353	0.756615202252	0.279468210799	-0.034427375711	0.000282076464	0.999935001650	N\A	0.044912607423	0.049404908914	0.005613464118	41	24	0.492065003228	Global Trend	
5600000	294.241067	1	-0.602160147884	0.851211145903	0.179609158437	-0.014999022643	0.000236576662	0.995874610023	N\A	0.046597261822	0.050964741097	0.005867334864	39	19	0.052681873228	Global Trend	
5650000	287.869529	1	-0.486141102270	0.749081179808	0.318917412395	-0.047375209589	0.000344158982	0.993832354218	N\A	0.033653199432	0.036732740467	0.005057695162	51	15	0.059643472898	Global Trend	
5700000	324.796465	1	-0.788554178163	0.839537817107	0.186881185319	-0.025473884828	0.000428962498	0.951515094899	N\A	0.037634004074	0.036165374931	0.005681136181	45	24	-0.019631814751	Global Trend	
5750000	334.097563	1	-0.797487912215	0.775618631517	0.246515387791	-0.028719449378	0.000283168231	0.970903165027	N\A	0.038457576678	0.040529504432	0.004859066457	36	28	0.025191100821	Global Trend	
5800000	295.423469	1	-0.769921131167	0.790621898114	0.232692653246	-0.030954771281	0.000277771004	0.991987051626	N\A	0.044702690969	0.048689219105	0.005475941063	34	22	-0.026208777200	Global Trend	
5850000	302.339282	1	-0.581346486779	0.801814101185	0.214010195295	-0.023554482997	0.000386479222	0.996090257209	N\A	0.047724262623	0.052172971608	0.005529406859	40	22	-0.074107865256	Global Trend	
