Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SEP_d1_m8-fab-002.txt
Log File Name:                   SEP_d1_m8-fab-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            4161355163
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SEP_d1_m8-fab-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.248843
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.69 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	
5650000	566.310979	1	-1.709099537847	1.012327021501	-0.021519724190	0.021527108943	0.000080190856	0.974747684663	N\A	0.042069161977	0.004808991241	0.017567363950	20	3	
5700000	552.508642	1	-1.860625551992	1.113494099755	-0.035724377276	0.015367282800	0.000061480223	0.975885051368	N\A	0.044569171808	0.006368716280	0.018384588262	34	3	
5750000	557.877575	1	-1.804865927080	1.058303901929	-0.024061617963	0.009679475792	0.000056775728	0.976962476407	N\A	0.041248572563	0.005271787770	0.016747909167	42	2	
5800000	557.043513	1	-1.785847415865	1.070931126798	-0.033318110400	0.025984069462	0.000027831116	0.975675651208	N\A	0.042506494450	0.005854645000	0.017668481385	34	2	
5850000	557.942946	1	-1.846587058038	1.090520632974	-0.033304211588	0.030001876067	0.000061761616	0.979248761099	N\A	0.039345340938	0.005732964794	0.015589446429	35	3	
5900000	571.062569	1	-1.981139958900	1.175450304769	-0.040389695544	-0.001720370804	0.000059912159	0.976056798010	N\A	0.041923102317	0.005398655193	0.017483507219	45	2	
5950000	559.010349	1	-1.731729461392	1.041736155474	-0.031812531421	0.037616334474	0.000017899949	0.978138806955	N\A	0.042616884825	0.005665570693	0.017022678146	38	3	
6000000	562.934394	1	-1.860381683305	1.114959588450	-0.035801199537	0.011860606790	0.000035753077	0.982815112338	N\A	0.038089936775	0.005722284768	0.015300105729	35	3	
6050000	551.362410	1	-1.803442067152	1.075377724217	-0.023725332965	-0.011469066531	0.000076373168	0.974219195952	N\A	0.040838761043	0.004746958548	0.016897669924	28	3	
6100000	552.133106	1	-1.865108099126	1.092796307707	-0.028321995492	0.002499465536	0.000083121235	0.977483559270	N\A	0.042061722341	0.004910173949	0.016869390481	36	3	
6150000	557.307548	1	-1.780059046310	1.045354631861	-0.038912652451	0.073087433449	0.000067845786	0.975428999840	N\A	0.041000680057	0.005819370109	0.017471803508	41	1	
6200000	555.213832	1	-1.780440348762	1.045961354802	-0.024101738707	-0.000318949915	0.000040878069	0.971938220924	N\A	0.043854454399	0.004956156672	0.017593216905	34	2	
6250000	568.377548	1	-1.920392791043	1.151853015250	-0.037477891790	-0.009601697672	0.000069630249	0.975906578504	N\A	0.043086859952	0.005859088159	0.018788183508	34	3	
6300000	558.068443	1	-1.674261507053	0.969589350569	-0.018382224465	0.039824994209	0.000081562511	0.978316424503	N\A	0.042473617249	0.005008175176	0.017440223859	32	4	
6350000	560.891165	1	-1.682163307553	0.982937199574	-0.017206384527	0.029176579542	0.000081739963	0.973410439845	N\A	0.043331686316	0.004957359937	0.017475294549	28	3	
6400000	558.673515	1	-1.754268561106	1.049666539428	-0.024439275079	0.002503192015	0.000066723124	0.977753856013	N\A	0.042446937447	0.005323144877	0.017117307499	27	2	
6450000	554.505971	1	-1.930092740004	1.158594164427	-0.044270171106	0.030763110710	0.000068577080	0.978197716981	N\A	0.038323559802	0.005351925310	0.016863508555	34	4	
6500000	563.540371	1	-2.015805428782	1.195471896354	-0.043172125526	-0.001002895389	0.000051653848	0.978815928610	N\A	0.041096115468	0.005296435548	0.016679156901	47	2	
6550000	560.303740	1	-1.932068560897	1.134692864567	-0.031943549501	-0.016573977044	0.000015367278	0.975983255449	N\A	0.041540147008	0.004795098142	0.016880663544	44	2	
6600000	554.508674	1	-1.727806286602	1.010239822721	-0.021876767852	0.013940044144	0.000080850270	0.973631324355	N\A	0.041676838466	0.004703492364	0.017500639167	25	3	
