Species_TTOL	MED	rest_of_brain	BOD	BOD2
Uroderma_bilobatum	1.707	3.0789623596587	1.21	1.4641
Vampyressa_pusilla	1.511	3.0789623596587	0.934	0.872356
Vampyrum_spectrum	2.368	3.0789623596587	2.238	5.008644
Alouatta_seniculus	3.202	3.0789623596587	3.806	14.485636
Aotus_trivirgatus	2.836	3.0789623596587	2.919	8.520561
Ateles_geoffroyi	3.263	3.0789623596587	3.903	15.233409
Avahi_laniger	2.743	3.0789623596587	3.109	9.665881
Plecturocebus_moloch	2.896	3.0789623596587	2.954	8.726116
Callimico_goeldii	2.663	3.0789623596587	2.681	7.187761
Callithrix_jacchus	2.502	3.0789623596587	2.447	5.987809
Cebuella_pygmaea	2.303	3.0789623596587	2.146	4.605316
Cebus_albifrons	3.24	3.0789623596587	3.491	12.187081
Cercopithecus_ascanius	3.213	3.0789623596587	3.531	12.467961
Cercopithecus_mitis_mitis	3.301	3.0789623596587	3.799	14.432401
Cheirogaleus_major	2.582	3.0789623596587	2.653	7.038409
Cheirogaleus_medius	2.305	3.0789623596587	2.248	5.053504
Daubentonia_madagascariensis	3.181	3.0789623596587	3.447	11.881809
Erythrocebus_patas	3.418	3.0789623596587	3.892	15.147664
Eulemur_fulvus_fulvus	2.959	3.0789623596587	3.146	9.897316
Galago_senegalensis	2.405	3.0789623596587	2.27	5.1529
Galagoides_demidoff	2.228	3.0789623596587	1.908	3.640464
Gorilla_gorilla	3.876	3.0789623596587	5.021	25.210441
Homo_sapiens	3.983	3.0789623596587	4.813	23.164969
Hylobates_lar	3.352	3.0789623596587	3.756	14.107536
Indri_indri	3.128	3.0789623596587	3.796	14.409616
Lagothrix_lagotricha	3.324	3.0789623596587	3.716	13.808656
Lepilemur_mustelinus	2.652	3.0789623596587	2.961	8.767521
Lophocebus_albigena	3.433	3.0789623596587	3.898	15.194404
Loris_tardigradus_tardigradus	2.367	3.0789623596587	2.508	6.290064
Macaca_mulatta	3.299	3.0789623596587	3.892	15.147664
Microcebus_murinus	1.996	3.0789623596587	1.732	2.999824
Miopithecus_talapoin	3.015	3.0789623596587	3.079	9.480241
Nasalis_larvatus	3.469	3.0789623596587	4.146	17.189316
Nycticebus_coucang	2.723	3.0789623596587	2.903	8.427409
Otolemur_crassicaudatus	2.732	3.0789623596587	2.929	8.579041
Pan_troglodytes	3.765	3.0789623596587	4.663	21.743569
Papio_cynocephalus	3.724	3.0789623596587	4.398	19.342404
Perodicticus_potto	2.833	3.0789623596587	3.061	9.369721
Pithecia_monachus	3.004	3.0789623596587	3.176	10.086976
Piliocolobus_badius	3.303	3.0789623596587	3.845	14.784025
Propithecus_verreauxi	3.087	3.0789623596587	3.542	12.545764
Pygathrix_nemaeus	3.344	3.0789623596587	3.875	15.015625
Saguinus_midas	2.631	3.0789623596587	2.531	6.405961
Saguinus_oedipus	2.616	3.0789623596587	2.58	6.6564
Saimiri_sciureus_sciureus	2.859	3.0789623596587	2.82	7.9524
Tarsius_tarsier	2.316	3.0789623596587	2.097	4.397409
Varecia_variegata	3.152	3.0789623596587	3.477	12.089529
