Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  STR_d1_m5-glob-001.txt
Log File Name:                   STR_d1_m5-glob-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3349761363
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   STR_d1_m5-glob-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.147241
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.77 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	No RJ Local Node	No RJ LS Betas	Global Trend	
3900000	543.586156	1	-1.300171500917	1.014607475318	0.001245141979	0.000088690039	0.986248264950	N\A	0.012368243601	0.002263533741	42	4	0.018957391526	Global Trend	
3950000	528.347268	1	-1.429956201554	0.997065367749	0.001513408690	0.000161361655	0.999822009048	N\A	0.001723162405	0.001549344133	36	1	0.487830033797	Global Trend	
4000000	531.591445	1	-1.322348416577	0.997905398500	0.001783888914	0.000040466001	0.999742568375	N\A	0.001727713330	0.001353258267	43	1	-0.094195715498	Global Trend	
4050000	537.544123	1	-1.291150816767	1.006999016972	-0.000347478302	0.000037475118	0.989387099002	N\A	0.009588147085	0.001830941981	38	0	0.006497264011	Global Trend	
4100000	535.202080	1	-1.296686121549	1.030424669739	-0.001405731825	0.000109070086	0.980460004345	N\A	0.018750130893	0.003021581570	40	1	0.016768785849	Global Trend	
4150000	529.121064	1	-1.313618524657	0.996781308203	0.003214295905	0.000034385543	0.999984517468	N\A	0.001234851802	0.001210580661	40	2	0.282667948036	Global Trend	
4200000	532.675946	1	-1.274549149440	0.998901844865	0.002522424004	0.000079464818	0.999803357902	N\A	0.001697094124	0.001458496255	36	0	0.274252688668	Global Trend	
4250000	529.061987	1	-1.304172318204	0.999299454859	0.002988491589	0.000148721425	0.992160484640	N\A	0.006609545010	0.001613237263	32	2	0.062261905106	Global Trend	
4300000	531.194920	1	-1.255096836112	0.996137612567	0.002166607966	0.000095846754	0.999848664034	N\A	0.001694967916	0.001467696274	28	1	-0.330223030505	Global Trend	
4350000	540.523391	1	-1.370596574470	0.985443950789	0.006354583313	0.000129692387	0.988915316106	N\A	0.010374453581	0.001871401153	41	3	0.029771726113	Global Trend	
4400000	544.452903	1	-1.286009830301	0.997619291561	0.001025893156	0.000205599489	0.991792556617	N\A	0.007411605462	0.001617979718	34	1	-0.066118266806	Global Trend	
4450000	527.596959	1	-1.312526545656	1.000797248174	-0.000898939212	0.000099225801	0.999940434942	N\A	0.001610454808	0.001538654938	30	1	0.452292104824	Global Trend	
4500000	544.725090	1	-1.341095599956	0.998109650939	0.001855876614	0.000145892879	0.999983277139	N\A	0.001358653166	0.001332065505	35	4	-1.195578792534	Global Trend	
4550000	550.031586	1	-1.321192502635	0.992530155571	0.002095033803	0.000185085042	0.981461567110	N\A	0.035039418322	0.005158347444	45	3	0.002075464414	Global Trend	
4600000	543.161508	1	-1.339182825009	0.996913357033	0.002943858298	0.000134088933	0.999931398320	N\A	0.001353966652	0.001282270689	46	3	0.621717561790	Global Trend	
4650000	526.051981	1	-1.352378682652	0.996857196062	0.000742995226	0.000101544923	0.993107139176	N\A	0.006529379293	0.001645432079	33	1	0.037558998916	Global Trend	
4700000	538.289606	1	-1.361551274856	1.000799300591	-0.001438508516	0.000176860364	0.999869290282	N\A	0.001512617502	0.001338449902	30	0	0.680800915313	Global Trend	
4750000	521.043835	1	-1.327824965025	1.001699257191	-0.000798895692	0.000081014572	0.999745273653	N\A	0.002045525049	0.001694385927	38	0	-0.162927904675	Global Trend	
4800000	555.297941	1	-1.434466855895	0.972099368457	0.006404677988	0.000135331060	0.991288117356	N\A	0.008055695546	0.001580540916	34	2	0.039229951234	Global Trend	
4850000	554.280725	1	-1.353872994555	0.996601249033	0.004745934056	0.000097276591	0.994305442622	N\A	0.005680536780	0.001562018878	44	4	0.039902975046	Global Trend	
4900000	538.987344	1	-1.348135637743	0.999184400341	0.001314324173	0.000114528255	0.999460822283	N\A	0.002023233636	0.001319430775	38	2	-0.192574840266	Global Trend	
4950000	541.642576	1	-1.447734559339	1.022710406364	-0.001584206845	0.000209636720	0.986397570556	N\A	0.017383591169	0.002916265680	35	2	-0.026168141396	Global Trend	
5000000	545.141930	1	-1.265472823840	0.998711775488	0.002363241407	0.000098071776	0.999633538756	N\A	0.001738647580	0.001285660165	47	1	0.145788449342	Global Trend	
5050000	535.140322	1	-1.335787884538	0.993352413153	0.002736489997	0.000086958479	0.977512870906	N\A	0.037732189220	0.005972675079	46	2	0.000848775311	Global Trend	
5100000	548.618409	1	-1.308233524639	0.951934843756	0.008601471418	0.000087838158	0.990311263812	N\A	0.016801916212	0.002660224616	42	3	0.008232671695	Global Trend	
5150000	537.825644	1	-1.343523241576	1.003103694780	0.000084642407	0.000091828044	0.997576770167	N\A	0.003569210338	0.001553165313	37	1	-0.056166007978	Global Trend	
