Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  HIP_d1_m8-glob-002.txt
Log File Name:                   HIP_d1_m8-glob-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            618986230
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   HIP_d1_m8-glob-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.233350
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.70 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	Global Trend	
5100000	485.144775	1	-1.003158122965	1.045803718347	-0.021055205650	-0.025160647805	0.000094109884	0.999929846064	N\A	0.018823383538	0.002199069511	0.020323621322	48	9	0.247554263437	Global Trend	
5150000	454.271241	1	-0.912885762812	0.993701185213	-0.025521100297	0.031851960702	0.000084294269	0.999997316576	N\A	0.025251490135	0.002899709584	0.027255499439	38	6	-1.238310231643	Global Trend	
5200000	447.475266	1	-0.954234760295	1.045321541260	-0.028158883958	0.023640964929	0.000080754963	0.976069481474	N\A	0.028559580539	0.002829552993	0.023959259765	43	5	0.007663095661	Global Trend	
5250000	471.710584	1	-1.007581401630	1.053772893374	-0.020848147273	-0.033832459496	0.000196043280	0.999365132762	N\A	0.021065858269	0.002634579573	0.023031350376	48	6	-0.201187761352	Global Trend	
5300000	458.229174	1	-0.980886726466	1.045633544057	-0.035255821919	0.035041969949	0.000125699249	0.955218976508	N\A	0.052482976917	0.006875543150	0.023408322460	39	2	-0.002575885968	Global Trend	
5350000	455.126742	1	-0.987514834310	1.019734584357	-0.019158203970	-0.003029790783	0.000130678992	0.997905839422	N\A	0.021501810562	0.002692707936	0.022802017824	43	4	0.060956379092	Global Trend	
5400000	467.572344	1	-0.923170462035	1.019136215588	-0.024810968265	0.005457953889	0.000156296699	0.999795357036	N\A	0.022079849305	0.002613932567	0.023860036007	37	5	0.288545629457	Global Trend	
5450000	483.266672	1	-0.977219377466	1.045161443643	-0.025647873802	-0.001537069670	0.000073504433	0.969840373169	N\A	0.048946613307	0.006015671349	0.019631606610	36	9	0.001241784641	Global Trend	
5500000	486.084514	1	-0.923451942030	1.025530979369	-0.019710863370	-0.000975207261	0.000165551842	0.998217128278	N\A	0.019474488001	0.002109564632	0.020343300632	43	8	0.119393286682	Global Trend	
5550000	478.189076	1	-1.082356427708	1.042545752220	-0.020991848160	-0.021896386395	0.000102383381	0.999937905839	N\A	0.020894687713	0.002314370082	0.022452799944	38	11	-0.409283530195	Global Trend	
5600000	446.097231	1	-1.232382163263	1.207655159237	-0.048386371558	0.007278304982	0.000116239388	0.958617508282	N\A	0.049670336791	0.006596724800	0.023033741997	46	4	0.002271121209	Global Trend	
5650000	461.546061	1	-0.895938648981	0.996574067398	-0.029960767675	0.059437017744	0.000153142755	0.965674782873	N\A	0.037679807838	0.004629458682	0.024415142929	43	3	0.008867587732	Global Trend	
5700000	469.349363	1	-1.268124146720	1.116004818177	-0.031874943780	-0.004932814812	0.000143813013	0.971308107133	N\A	0.032017316231	0.004193191915	0.023410921347	40	2	-0.009917862389	Global Trend	
5750000	460.709231	1	-1.016196741005	1.038649868505	-0.030677441569	0.026189792787	0.000096262155	0.964798447587	N\A	0.033950552052	0.004292953797	0.025263665373	36	3	-0.006792346436	Global Trend	
