Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SEP_d1_m8-glob-001.txt
Log File Name:                   SEP_d1_m8-glob-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1909472801
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SEP_d1_m8-glob-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.248843
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.69 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	Global Trend	
3650000	555.802860	1	-1.816438357228	1.077519604369	-0.032743195081	0.025641175091	0.000084661079	0.977449726861	N\A	0.040046049563	0.004704116221	0.016371793491	43	2	0.001172229707	Global Trend	
3700000	539.929527	1	-1.702396922742	1.038492904078	-0.030741911440	0.025487084136	0.000065161459	0.978566866592	N\A	0.028339962109	0.003729677109	0.017020513535	37	0	0.005220756659	Global Trend	
3750000	552.062982	1	-1.961029227805	1.179216576599	-0.045514089338	0.008832182052	0.000049820281	0.975581679891	N\A	0.041749601659	0.005878959839	0.018870793734	41	2	0.000073288409	Global Trend	
3800000	572.624800	1	-1.620542189112	1.031671843494	-0.027648019582	0.038630123380	0.000044191367	0.992325662069	N\A	0.016281375923	0.002007157649	0.014965303477	40	2	0.014999953159	Global Trend	
3850000	540.373074	1	-1.766090502588	1.039666917632	-0.030240996202	0.047200402491	0.000095961552	0.977747731464	N\A	0.036697369767	0.004537672077	0.019162853804	31	1	0.004074364783	Global Trend	
3900000	562.508557	1	-1.591801373613	0.969080722987	-0.020858897705	0.052471401026	0.000068508646	0.999970762980	N\A	0.015087387961	0.001972751628	0.016545877708	31	2	0.527649014748	Global Trend	
3950000	547.167564	1	-1.861479744293	1.070091613984	-0.019366259067	-0.015656144415	0.000125235023	0.975677557158	N\A	0.033575032681	0.003971042514	0.019288035391	33	3	-0.008182575067	Global Trend	
4000000	546.588107	1	-1.693270667695	0.985845945906	-0.019955751261	0.034070355992	0.000121088692	0.998946054943	N\A	0.016250864604	0.001878752302	0.017255152998	31	4	-0.203139039100	Global Trend	
4050000	556.782685	1	-1.679975028162	1.007883029731	-0.018074552011	0.010800272745	0.000072163703	0.999841827073	N\A	0.017428271860	0.002073991090	0.018822059935	27	2	0.188571376162	Global Trend	
4100000	549.636803	1	-1.624655890813	0.967781148351	-0.017938659910	0.046614692432	0.000060206467	0.999280610698	N\A	0.017730228548	0.002158338350	0.019158426149	35	3	-0.085322500510	Global Trend	
4150000	556.071211	1	-1.854788593605	1.116226021113	-0.036124890823	0.022872220936	0.000061863990	0.977965443551	N\A	0.036518615931	0.005002976887	0.018251268831	39	1	0.002613925617	Global Trend	
4200000	570.167101	1	-1.698728965894	1.071042573954	-0.028320840891	0.017750339408	0.000078543628	0.984280196465	N\A	0.023282448644	0.002985693893	0.016540772776	35	2	0.010113167298	Global Trend	
4250000	561.758185	1	-1.663469529031	1.022267425311	-0.018117605583	-0.004723239461	0.000064556877	0.999950013619	N\A	0.013612885789	0.001586924780	0.014519851402	39	2	-0.395067913129	Global Trend	
4300000	544.431510	1	-1.690736699318	0.999189101604	-0.017620497002	0.018482247352	0.000022641689	0.999991407913	N\A	0.017583362335	0.002136168052	0.019001081478	46	3	0.262760993840	Global Trend	
4350000	560.655914	1	-1.648771618465	1.045197443988	-0.027007568158	0.017786153513	0.000108820655	0.982854356056	N\A	0.023748087732	0.002984892688	0.017930519662	35	2	0.016732440526	Global Trend	
4400000	563.839332	1	-1.714249662254	1.039465240998	-0.026183581774	0.013994055679	0.000077657185	0.983389599975	N\A	0.024970916782	0.002970971572	0.016815247793	33	2	0.007945330787	Global Trend	
4450000	552.355723	1	-1.928730604305	1.159496830661	-0.044669469499	0.025629819352	0.000074340929	0.978308855619	N\A	0.043280735247	0.005720605678	0.018108355099	33	6	0.000417724148	Global Trend	
4500000	567.101703	1	-1.588279330564	0.999373909105	-0.019522210944	0.020869954531	0.000071533762	0.999976771379	N\A	0.015235682258	0.001834158521	0.016335130487	33	2	0.761908659751	Global Trend	
4550000	560.679581	1	-1.606549858355	0.996604590885	-0.021093437333	0.026410583570	0.000078406541	0.999647389673	N\A	0.015794056879	0.001689126115	0.016703125181	35	2	0.203670758465	Global Trend	
4600000	571.673864	1	-1.728554326718	1.030066139578	-0.022205633481	0.018718499543	0.000040349436	0.983036268308	N\A	0.032362730350	0.003708387716	0.015568645491	42	2	0.003029965609	Global Trend	
4650000	557.349450	1	-1.625441520558	0.987233183673	-0.022887106026	0.042988252583	0.000055974672	0.995378978552	N\A	0.018395490300	0.002183793133	0.018996009564	37	2	0.024523183724	Global Trend	
4700000	554.598128	1	-1.772440135723	1.068120974952	-0.027790354472	0.013027485509	0.000083156785	0.978343796348	N\A	0.029622196412	0.003653205336	0.016853635947	38	3	0.006072397456	Global Trend	
4750000	551.603694	1	-1.780473637264	1.051256454365	-0.025929001573	0.025214445872	0.000069680644	0.976539686655	N\A	0.039708206045	0.005585799111	0.018256272484	37	2	0.001608485661	Global Trend	
4800000	563.081995	1	-1.720785503494	1.016185431782	-0.015754192156	-0.001582160043	0.000021334140	0.999339842420	N\A	0.013313469333	0.001789711453	0.014332486585	45	2	-0.023735685887	Global Trend	
4850000	562.217454	1	-1.726466009519	1.012097137600	-0.018418534052	0.006318656783	0.000058642375	0.999998739693	N\A	0.015990487602	0.001729902731	0.017001702834	29	2	-1.908721761673	Global Trend	
4900000	556.305649	1	-1.630271837441	0.991048905091	-0.021073930254	0.038370539382	0.000068237203	0.997118952042	N\A	0.016589350424	0.001844806648	0.017120714692	35	1	0.053197540101	Global Trend	
4950000	550.947576	1	-1.746774085296	1.026089852852	-0.022481918006	0.006956937425	0.000078481620	0.977033223871	N\A	0.035872550543	0.005129207959	0.017068861154	30	3	-0.002905216802	Global Trend	
5000000	556.707393	1	-1.801567585122	1.078910432543	-0.031419205103	0.032034556876	0.000067410051	0.980596781571	N\A	0.033204937299	0.004443939539	0.017670678449	23	3	0.004905092457	Global Trend	
5050000	539.000219	1	-1.697028869087	1.012548104012	-0.012590973992	-0.000099545180	0.000063651760	0.999998412408	N\A	0.016127913297	0.001843882720	0.017282134909	24	1	-2.307694608599	Global Trend	
5100000	557.585449	1	-1.647979226548	0.996257047955	-0.019613995350	0.025376419467	0.000054035982	0.999714668332	N\A	0.016008811419	0.001745221240	0.017100273544	39	3	0.095170721701	Global Trend	
5150000	556.284654	1	-1.688432834239	1.024422244858	-0.021981038049	0.010555470424	0.000074020652	0.993436513111	N\A	0.016293717061	0.001911600741	0.015398659896	40	3	0.024198215385	Global Trend	
5200000	564.913435	1	-1.643562600458	0.974061759393	-0.021263279443	0.047421690789	0.000078182586	0.997377159257	N\A	0.032023991007	0.004469599219	0.013455412799	35	3	-0.005800325537	Global Trend	
5250000	561.158545	1	-1.839783340139	1.092679124198	-0.036194337822	0.022944465070	0.000073544688	0.974977815993	N\A	0.041153543181	0.005649229545	0.019810112877	31	3	-0.001197426481	Global Trend	
5300000	563.732651	1	-1.704050732386	1.029089776765	-0.014805203210	-0.014529611994	0.000079956049	0.999986382788	N\A	0.014753808985	0.001785479159	0.015858123887	36	3	-0.926602425037	Global Trend	
5350000	566.333449	1	-1.693649731574	1.032287586555	-0.024219954109	0.019476795162	0.000072785208	0.983668710118	N\A	0.021831824259	0.002438062701	0.015093658550	34	3	0.010337473697	Global Trend	
5400000	553.390032	1	-1.758356435066	1.026630081669	-0.022753673015	0.028260121228	0.000075158653	0.975126828833	N\A	0.040246854967	0.004864188972	0.016949369896	39	2	-0.000940829531	Global Trend	
5450000	559.372076	1	-1.712558642123	1.021584050166	-0.023596583919	0.019281545938	0.000061842647	0.979189503498	N\A	0.036775687180	0.005011783306	0.015660221475	37	2	0.000328683111	Global Trend	
5500000	561.881417	1	-1.739258745408	1.027915878989	-0.014744453872	-0.014557364311	0.000068241683	0.999509783949	N\A	0.015350945071	0.001795193521	0.016475219077	39	3	-0.104958018270	Global Trend	
5550000	548.632280	1	-1.877598829410	1.136887405397	-0.030953742999	-0.031235083697	0.000058189589	0.974056728630	N\A	0.039315180788	0.004874540249	0.019297398767	39	2	0.002406100385	Global Trend	
5600000	552.707004	1	-1.789679607614	1.064247287364	-0.029404572400	0.019802703973	0.000074458675	0.975116151047	N\A	0.039970915723	0.005115881553	0.018061820824	34	2	0.002629610346	Global Trend	
5650000	565.285516	1	-1.622832553335	0.978137896527	-0.018356909901	0.037759882367	0.000072346069	0.999514603485	N\A	0.015014625968	0.001922642190	0.016341907333	37	1	-0.116383066095	Global Trend	
5700000	541.625591	1	-1.712976578034	1.015811207005	-0.015744807468	0.000128214601	0.000060017489	0.999991342967	N\A	0.015559637351	0.001729843559	0.016587679837	33	2	0.652012164090	Global Trend	
5750000	552.489171	1	-1.657262976440	1.005776645480	-0.021824585793	0.030883008009	0.000055191459	0.992054323170	N\A	0.018038804307	0.002027118645	0.017411253406	37	4	0.016873993662	Global Trend	
5800000	558.214777	1	-1.599425118858	1.003651204427	-0.018576268872	0.020232052323	0.000067264929	0.999040540375	N\A	0.017172156005	0.001870162916	0.018306268976	31	2	0.102561917826	Global Trend	
5850000	567.078940	1	-1.838878486706	1.059427170153	-0.022535043583	0.001790568743	0.000049660720	0.984380702669	N\A	0.023650513771	0.002848347993	0.018713159308	31	3	0.007843990795	Global Trend	
5900000	553.502328	1	-1.675954277726	1.002073417636	-0.018927640829	0.018204548041	0.000072006381	0.999507908605	N\A	0.015076353402	0.001719743902	0.016032306816	52	1	0.074074015951	Global Trend	
