Species_TTOL	SCH	rest_of_brain	rest_of_brain2	BOD	BOD2
Thylacinus_cynocephalus	2.876507	3.0789623596587	9.48000921219507	4.342423	18.856637510929
Thylogale_billardierii	2.784118	3.0789623596587	9.48000921219507	3.845098	14.784778629604
Thylogale_stigmatica	2.681874	3.0789623596587	9.48000921219507	3.653213	13.345965223369
Trichosurus_vulpecula	2.524915	3.0789623596587	9.48000921219507	3.30103	10.8967990609
Vombatus_ursinus	3.128302	3.0789623596587	9.48000921219507	4.357935	18.991597464225
Wallabia_bicolor	2.943049	3.0789623596587	9.48000921219507	4.198657	17.628720603649
Balionycteris_maculata	1.373	3.0789623596587	9.48000921219507	1.158	1.340964
Casinycteris_argynnis	1.539	3.0789623596587	9.48000921219507	1.428	2.039184
Chironax_melanocephalus	1.423	3.0789623596587	9.48000921219507	1.248	1.557504
Cynopterus_brachyotis	1.585	3.0789623596587	9.48000921219507	1.53	2.3409
Cynopterus_horsfieldii	1.754	3.0789623596587	9.48000921219507	1.773	3.143529
Cynopterus_sphinx	1.646	3.0789623596587	9.48000921219507	1.713	2.934369
Dobsonia_inermis	1.977	3.0789623596587	9.48000921219507	2.173	4.721929
Dobsonia_moluccensis	2.146	3.0789623596587	9.48000921219507	2.543	6.466849
Dobsonia_praedatrix	1.969	3.0789623596587	9.48000921219507	2.25	5.0625
Eidolon_helvum	2.181	3.0789623596587	9.48000921219507	2.418	5.846724
Eonycteris_spelaea	1.744	3.0789623596587	9.48000921219507	1.769	3.129361
Epomophorus_labiatus	1.733	3.0789623596587	9.48000921219507	1.806	3.261636
Epomops_franqueti	1.915	3.0789623596587	9.48000921219507	2.072	4.293184
Hypsignathus_monstrosus	2.057	3.0789623596587	9.48000921219507	2.491	6.205081
Macroglossus_minimus	1.358	3.0789623596587	9.48000921219507	1.164	1.354896
Megaerops_ecaudatus	1.562	3.0789623596587	9.48000921219507	1.38	1.9044
Megaloglossus_woermanni	1.5	3.0789623596587	9.48000921219507	1.253	1.570009
Melonycteris_melanops	1.709	3.0789623596587	9.48000921219507	1.675	2.805625
Melonycteris_woodfordi	1.622	3.0789623596587	9.48000921219507	1.549	2.399401
Epomophorus_pusillus	1.471	3.0789623596587	9.48000921219507	1.4	1.96
Myonycteris_torquata	1.673	3.0789623596587	9.48000921219507	1.561	2.436721
Notopteris_macdonaldi	1.718	3.0789623596587	9.48000921219507	1.841	3.389281
Nyctimene_albiventer	1.474	3.0789623596587	9.48000921219507	1.473	2.169729
Nyctimene_robinsoni	1.641	3.0789623596587	9.48000921219507	1.673	2.798929
Nyctimene_vizcaccia	1.501	3.0789623596587	9.48000921219507	1.549	2.399401
Paranyctimene_raptor	1.431	3.0789623596587	9.48000921219507	1.417	2.007889
Pteropus_alecto	2.344	3.0789623596587	9.48000921219507	2.775	7.700625
Pteropus_conspicillatus	2.416	3.0789623596587	9.48000921219507	2.875	8.265625
Pteropus_hypomelanus	2.294	3.0789623596587	9.48000921219507	2.591	6.713281
Pteropus_lylei	2.27	3.0789623596587	9.48000921219507	2.497	6.235009
Pteropus_neohibernicus	2.452	3.0789623596587	9.48000921219507	2.924	8.549776
Pteropus_poliocephalus	2.354	3.0789623596587	9.48000921219507	2.842	8.076964
Pteropus_samoensis	2.335	3.0789623596587	9.48000921219507	2.491	6.205081
Pteropus_scapulatus	2.31	3.0789623596587	9.48000921219507	2.574	6.625476
Pteropus_temminckii	2.219	3.0789623596587	9.48000921219507	2.398	5.750404
Pteropus_tonganus	2.303	3.0789623596587	9.48000921219507	2.652	7.033104
Pteropus_vampyrus	2.47	3.0789623596587	9.48000921219507	3.027	9.162729
Rousettus_aegyptiacus	1.919	3.0789623596587	9.48000921219507	2.111	4.456321
Rousettus_amplexicaudatus	1.679	3.0789623596587	9.48000921219507	1.856	3.444736
Scotonycteris_zenkeri	1.5	3.0789623596587	9.48000921219507	1.328	1.763584
Sphaerias_blanfordi	1.526	3.0789623596587	9.48000921219507	1.47	2.1609
Syconycteris_australis	1.386	3.0789623596587	9.48000921219507	1.207	1.456849
Anoura_caudifer	1.196	3.0789623596587	9.48000921219507	1.025	1.050625
Anoura_geoffroyi	1.382	3.0789623596587	9.48000921219507	1.204	1.449616
Ardops_nichollsi	1.297	3.0789623596587	9.48000921219507	1.352	1.827904
Artibeus_cinereus	1.301	3.0789623596587	9.48000921219507	1.1	1.21
Artibeus_concolor	1.403	3.0789623596587	9.48000921219507	1.288	1.658944
Artibeus_jamaicensis	1.644	3.0789623596587	9.48000921219507	1.613	2.601769
Artibeus_lituratus	1.695	3.0789623596587	9.48000921219507	1.748	3.055504
Aselliscus_stoliczkanus	0.626	3.0789623596587	9.48000921219507	0.69	0.4761
Aselliscus_tricuspidatus	0.644	3.0789623596587	9.48000921219507	0.643	0.413449
Brachyphylla_cavernarum	1.566	3.0789623596587	9.48000921219507	1.648	2.715904
Cardioderma_cor	1.356	3.0789623596587	9.48000921219507	1.415	2.002225
Carollia_perspicillata	1.301	3.0789623596587	9.48000921219507	1.25	1.5625
Chalinolobus_gouldii	0.854	3.0789623596587	9.48000921219507	1.068	1.140624
Chalinolobus_morio	0.797	3.0789623596587	9.48000921219507	0.919	0.844561
Chiroderma_salvini	1.441	3.0789623596587	9.48000921219507	1.417	2.007889
Chiroderma_trinitatum	1.236	3.0789623596587	9.48000921219507	1.137	1.292769
Chiroderma_villosum	1.358	3.0789623596587	9.48000921219507	1.394	1.943236
Choeroniscus_minor	1.217	3.0789623596587	9.48000921219507	0.982	0.964324
Coleura_afra	0.89	3.0789623596587	9.48000921219507	1.061	1.125721
Cormura_brevirostris	0.791	3.0789623596587	9.48000921219507	0.914	0.835396
Craseonycteris_thonglongyai	0.38	3.0789623596587	9.48000921219507	0.408	0.166464
Desmodus_rotundus	1.501	3.0789623596587	9.48000921219507	1.56	2.4336
Diphylla_ecaudata	1.365	3.0789623596587	9.48000921219507	1.49	2.2201
Emballonura_monticola	0.643	3.0789623596587	9.48000921219507	0.724	0.524176
Emballonura_raffrayana	0.719	3.0789623596587	9.48000921219507	0.771	0.594441
Eptesicus_brasiliensis	0.794	3.0789623596587	9.48000921219507	0.964	0.929296
Eptesicus_fuscus_bahamensis	0.992	3.0789623596587	9.48000921219507	1.134	1.285956
Eumops_auripendulus	1.258	3.0789623596587	9.48000921219507	1.529	2.337841
Eumops_glaucinus	1.365	3.0789623596587	9.48000921219507	1.562	2.439844
Furipterus_horrens	0.575	3.0789623596587	9.48000921219507	0.535	0.286225
Glischropus_tylopus	0.394	3.0789623596587	9.48000921219507	0.69	0.4761
Glossophaga_longirostris	1.23	3.0789623596587	9.48000921219507	1.053	1.108809
Glossophaga_soricina	1.173	3.0789623596587	9.48000921219507	0.996	0.992016
Harpiocephalus_harpia	1.236	3.0789623596587	9.48000921219507	1.13	1.2769
Hesperoptenus_blanfordi	0.613	3.0789623596587	9.48000921219507	0.863	0.744769
Hipposideros_armiger	1.4	3.0789623596587	9.48000921219507	1.748	3.055504
Hipposideros_ater	0.802	3.0789623596587	9.48000921219507	0.839	0.703921
Hipposideros_caffer	0.955	3.0789623596587	9.48000921219507	1.041	1.083681
Macronycteris_commersoni	1.427	3.0789623596587	9.48000921219507	1.997	3.988009
Hipposideros_diadema	1.342	3.0789623596587	9.48000921219507	1.622	2.630884
Hipposideros_fulvus	0.791	3.0789623596587	9.48000921219507	0.845	0.714025
Hipposideros_lankadiva	1.38	3.0789623596587	9.48000921219507	1.686	2.842596
Hipposideros_larvatus	1.057	3.0789623596587	9.48000921219507	1.312	1.721344
Hipposideros_ridleyi	0.906	3.0789623596587	9.48000921219507	0.982	0.964324
Hipposideros_speoris	0.86	3.0789623596587	9.48000921219507	1.061	1.125721
Hipposideros_turpis	1.248	3.0789623596587	9.48000921219507	1.542	2.377764
Ia_io	1.425	3.0789623596587	9.48000921219507	1.727	2.982529
Kerivoula_papillosa	0.919	3.0789623596587	9.48000921219507	1.004	1.008016
Lasiurus_borealis	0.663	3.0789623596587	9.48000921219507	0.892	0.795664
Leptonycteris_curasoae	1.364	3.0789623596587	9.48000921219507	1.389	1.929321
Leptonycteris_nivalis	1.35	3.0789623596587	9.48000921219507	1.358	1.844164
Lonchophylla_mordax	1.193	3.0789623596587	9.48000921219507	1.029	1.058841
