Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MOB_d1_m9-glob-006.txt
Log File Name:                   MOB_d1_m9-glob-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3519862750
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MOB_d1_m9-glob-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.114840
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.79 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	Global Trend	
3950000	309.631195	1	-1.833687539734	1.616440089178	-0.119523412640	-0.017514969728	0.027048542575	0.000211666415	0.929603080588	N\A	0.117587713076	0.018312459612	0.056842206732	0.011804385806	42	16	0.001481772396	Global Trend	
4000000	321.127330	1	-0.688554198738	0.865722172894	-0.005331207807	0.248603255966	-0.038683875938	0.000276817449	0.968017971230	N\A	0.040145563745	0.006810044630	0.037471058357	0.007871325434	33	18	0.021713793514	Global Trend	
4050000	303.040872	1	-1.766620341589	1.716068891850	-0.177242573726	0.025849273052	0.050159289531	0.000653921422	0.922549603319	N\A	0.135506590995	0.022307072964	0.058555285807	0.013720842899	38	18	0.000918566282	Global Trend	
4100000	316.804626	1	-1.826994551085	1.873450679678	-0.181774316083	-0.131680973679	0.068515711082	0.000264625858	0.945374283434	N\A	0.095584281288	0.017832436794	0.045155515025	0.011533516793	49	19	0.001741528305	Global Trend	
4150000	308.821463	1	-2.060468034965	2.079807393474	-0.212430539805	-0.163322862185	0.068414267017	0.000285386886	0.936283625134	N\A	0.104294521654	0.018313231370	0.047531246057	0.011580105111	42	17	0.001792327770	Global Trend	
4200000	303.037812	1	-1.747285701521	1.584180159372	-0.153004822085	0.150055446471	0.021044260586	0.000318489691	0.916833822820	N\A	0.134229779742	0.021623254917	0.058244769896	0.012368904584	34	19	0.001937468656	Global Trend	
4250000	321.148134	1	-1.753879365150	1.653688772433	-0.160668148911	0.005038554870	0.056206130561	0.000171012408	0.929039040609	N\A	0.125534313670	0.021034586016	0.056606428599	0.012755799299	50	15	0.000967772652	Global Trend	
4300000	316.878521	1	-1.748468704178	1.684209350860	-0.144094330657	-0.065685208545	0.040049221386	0.000164962622	0.928321679351	N\A	0.112532380309	0.019068252180	0.050098195727	0.011663116192	37	18	0.000908806448	Global Trend	
4350000	332.856539	1	-1.511669665046	1.508863409481	-0.110661254080	-0.029976305634	0.028362619042	0.000419209407	0.930739863254	N\A	0.092756721574	0.015311645987	0.052008973395	0.010602603203	41	21	0.005363501580	Global Trend	
4400000	315.199072	1	-1.846493713621	1.761714474960	-0.173678571964	-0.088824704546	0.066844164797	0.000595342089	0.927308435496	N\A	0.117359764891	0.018669430629	0.058617128334	0.012389227652	44	22	0.004259278835	Global Trend	
4450000	286.774890	1	-2.415526650614	2.200769395303	-0.234641542202	-0.155517231251	0.079268510558	0.000346729394	0.919166221856	N\A	0.147476942455	0.023270806835	0.066200287176	0.014155783548	48	14	0.001151352816	Global Trend	
