Species_TTOL	SCH	rest_of_brain	BOD
Pteropus_temminckii	2.219	3.0789623596587	2.398
Pteropus_tonganus	2.303	3.0789623596587	2.652
Pteropus_vampyrus	2.47	3.0789623596587	3.027
Rousettus_aegyptiacus	1.919	3.0789623596587	2.111
Rousettus_amplexicaudatus	1.679	3.0789623596587	1.856
Scotonycteris_zenkeri	1.5	3.0789623596587	1.328
Sphaerias_blanfordi	1.526	3.0789623596587	1.47
Syconycteris_australis	1.386	3.0789623596587	1.207
Anoura_caudifer	1.196	3.0789623596587	1.025
Anoura_geoffroyi	1.382	3.0789623596587	1.204
Ardops_nichollsi	1.297	3.0789623596587	1.352
Artibeus_cinereus	1.301	3.0789623596587	1.1
Artibeus_concolor	1.403	3.0789623596587	1.288
Artibeus_jamaicensis	1.644	3.0789623596587	1.613
Artibeus_lituratus	1.695	3.0789623596587	1.748
Aselliscus_stoliczkanus	0.626	3.0789623596587	0.69
Aselliscus_tricuspidatus	0.644	3.0789623596587	0.643
Brachyphylla_cavernarum	1.566	3.0789623596587	1.648
Cardioderma_cor	1.356	3.0789623596587	1.415
Carollia_perspicillata	1.301	3.0789623596587	1.25
Chalinolobus_gouldii	0.854	3.0789623596587	1.068
Chalinolobus_morio	0.797	3.0789623596587	0.919
Chiroderma_salvini	1.441	3.0789623596587	1.417
Chiroderma_trinitatum	1.236	3.0789623596587	1.137
Chiroderma_villosum	1.358	3.0789623596587	1.394
Choeroniscus_minor	1.217	3.0789623596587	0.982
Coleura_afra	0.89	3.0789623596587	1.061
Cormura_brevirostris	0.791	3.0789623596587	0.914
Craseonycteris_thonglongyai	0.38	3.0789623596587	0.408
Desmodus_rotundus	1.501	3.0789623596587	1.56
Diphylla_ecaudata	1.365	3.0789623596587	1.49
Emballonura_monticola	0.643	3.0789623596587	0.724
Emballonura_raffrayana	0.719	3.0789623596587	0.771
Eptesicus_brasiliensis	0.794	3.0789623596587	0.964
Eptesicus_fuscus_bahamensis	0.992	3.0789623596587	1.134
Eumops_auripendulus	1.258	3.0789623596587	1.529
Eumops_glaucinus	1.365	3.0789623596587	1.562
Furipterus_horrens	0.575	3.0789623596587	0.535
Glischropus_tylopus	0.394	3.0789623596587	0.69
Glossophaga_longirostris	1.23	3.0789623596587	1.053
Glossophaga_soricina	1.173	3.0789623596587	0.996
Harpiocephalus_harpia	1.236	3.0789623596587	1.13
Hesperoptenus_blanfordi	0.613	3.0789623596587	0.863
Hipposideros_armiger	1.4	3.0789623596587	1.748
Hipposideros_ater	0.802	3.0789623596587	0.839
Hipposideros_caffer	0.955	3.0789623596587	1.041
Macronycteris_commersoni	1.427	3.0789623596587	1.997
Hipposideros_diadema	1.342	3.0789623596587	1.622
Hipposideros_fulvus	0.791	3.0789623596587	0.845
Hipposideros_lankadiva	1.38	3.0789623596587	1.686
Hipposideros_larvatus	1.057	3.0789623596587	1.312
Hipposideros_ridleyi	0.906	3.0789623596587	0.982
Hipposideros_speoris	0.86	3.0789623596587	1.061
Hipposideros_turpis	1.248	3.0789623596587	1.542
Ia_io	1.425	3.0789623596587	1.727
Kerivoula_papillosa	0.919	3.0789623596587	1.004
Lasiurus_borealis	0.663	3.0789623596587	0.892
Leptonycteris_curasoae	1.364	3.0789623596587	1.389
Leptonycteris_nivalis	1.35	3.0789623596587	1.358
