Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SEP_d1_m9-glob-005.txt
Log File Name:                   SEP_d1_m9-glob-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3666100468
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SEP_d1_m9-glob-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.248843
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.69 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	Global Trend	
3950000	565.277823	1	-1.738814110370	1.031430335646	-0.024752173072	0.043814426715	-0.003868967045	0.000053243205	0.977218034626	N\A	0.053736673951	0.007878199119	0.030286582699	0.005608467816	33	2	0.003227762565	Global Trend	
4000000	562.875140	1	-1.590485635049	0.946903427546	-0.014930191997	0.076294681851	-0.007170264026	0.000084160344	0.999867449784	N\A	0.023705239152	0.003375283266	0.025986160366	0.004553224970	38	3	0.284107633030	Global Trend	
4050000	562.782991	1	-1.629356665607	0.966433407862	-0.016003596162	0.056405626235	-0.007148438587	0.000065651202	0.999984104574	N\A	0.022001420316	0.003184151315	0.024040217711	0.004255708640	40	3	-0.631871353700	Global Trend	
4100000	557.737319	1	-1.731526337920	0.976946006125	-0.015088714980	0.104191458436	-0.017561872792	0.000054221432	0.980550325066	N\A	0.063283792401	0.008211136306	0.030109974907	0.005182334817	45	4	0.000333855697	Global Trend	
4150000	562.244136	1	-1.622850501456	0.906422974148	-0.009811614461	0.102169572454	-0.012671606380	0.000057308301	0.975203523253	N\A	0.060118369955	0.008658711790	0.031186388459	0.005791477720	43	3	0.002815909739	Global Trend	
4200000	562.082305	1	-1.686798597212	0.956191734035	-0.009986437891	0.068563380887	-0.014701950570	0.000075309547	0.999984566607	N\A	0.022410289638	0.003252256383	0.024481374874	0.004331496101	53	2	0.694316247109	Global Trend	
4250000	553.798796	1	-1.681113848812	1.011962873274	-0.017881645063	0.035814032891	-0.007595097170	0.000072300304	0.984608417995	N\A	0.031502678114	0.004409016161	0.027523381294	0.004694712457	36	3	0.010408431060	Global Trend	
4300000	559.518879	1	-1.633379635867	0.956742161304	-0.017042053537	0.070614521846	-0.009503294012	0.000066017761	0.999569195796	N\A	0.023859380787	0.003284904790	0.025768260792	0.004375591431	33	4	0.102385864383	Global Trend	
4350000	556.052781	1	-1.664711151410	0.955122549048	-0.010108229144	0.068372951918	-0.013663380244	0.000074063648	0.999994347367	N\A	0.023373836278	0.003558045582	0.025639931769	0.004523380317	30	1	-0.840256982443	Global Trend	
4400000	558.190919	1	-1.786482520813	0.989612850642	-0.013613450047	0.069206647939	-0.015089944809	0.000059332972	0.977397782127	N\A	0.049305626098	0.006812511586	0.030168921686	0.005354399362	36	4	-0.003347493502	Global Trend	
4450000	562.110670	1	-1.724135673056	1.013000183287	-0.019898450097	0.028020381015	-0.004485430516	0.000019740548	0.987094006237	N\A	0.026232788415	0.003904479886	0.022998929430	0.004335419521	34	1	0.005270828021	Global Trend	
4500000	560.986659	1	-1.714298282928	0.985183858729	-0.013668120561	0.071185156527	-0.013958386044	0.000048870276	0.979560854353	N\A	0.050260785375	0.006722895475	0.029152748169	0.004833275923	37	3	0.003731885235	Global Trend	
4550000	562.630059	1	-1.626770263916	0.944948435502	-0.015453469772	0.080485902528	-0.009815464751	0.000064605540	0.999991225268	N\A	0.022285820884	0.003372398332	0.024308880770	0.004473895540	33	1	0.791264335724	Global Trend	
4600000	561.849581	1	-1.662029833468	0.952280575229	-0.010472613432	0.049767368120	-0.006279708825	0.000074848132	0.976055517760	N\A	0.049713541853	0.006140863505	0.030139819526	0.004899886324	25	3	0.006346898472	Global Trend	
4650000	562.495685	1	-1.626392920697	0.920554886977	-0.012734722388	0.107267397946	-0.015421830482	0.000068891334	0.999906373096	N\A	0.024090771693	0.003504214423	0.026110490461	0.004490294368	44	4	-0.305625662058	Global Trend	
4700000	556.436553	1	-1.584767584482	0.926172664693	-0.009356648622	0.097759756624	-0.016080722061	0.000075073061	0.999619475711	N\A	0.024790842932	0.002869046787	0.026976268244	0.004516140163	38	4	0.146813643925	Global Trend	
4750000	570.389789	1	-1.810517100718	1.057182570907	-0.019880396459	-0.008673312127	-0.001261923479	0.000073698022	0.979103480578	N\A	0.055756276757	0.007263047431	0.030751233218	0.005252484876	31	6	-0.003024974462	Global Trend	
4800000	559.285417	1	-1.950774091043	1.146052166504	-0.043443584233	0.016719529243	0.003478937618	0.000079248568	0.978251554670	N\A	0.079972937765	0.011641472393	0.033968511746	0.006401469227	29	3	0.000256239314	Global Trend	
4850000	555.312910	1	-1.705005389493	1.015681267569	-0.014371547183	-0.001671405456	-0.003590243394	0.000074494899	0.991653491023	N\A	0.026330371177	0.003417076055	0.026393093819	0.004398485774	36	1	-0.022522181676	Global Trend	
4900000	547.798954	1	-1.692869730542	0.983737236231	-0.019744711996	0.038356174475	-0.002237586833	0.000077026525	0.999906804025	N\A	0.023356497726	0.003461259479	0.025489223139	0.004314103362	43	2	-0.248794584681	Global Trend	
4950000	561.237613	1	-1.671304300077	0.941420711844	-0.010743515183	0.082769898812	-0.013556201472	0.000031088978	0.999922746268	N\A	0.024644811971	0.003196213755	0.026672976916	0.004412079952	35	1	-0.146201984764	Global Trend	
5000000	558.118790	1	-1.726953788448	1.016636188782	-0.019725188054	0.035956941212	-0.004931322725	0.000067804835	0.979291250898	N\A	0.043096620981	0.006037614479	0.027712192929	0.005071041837	38	6	0.006528858734	Global Trend	
5050000	543.868326	1	-1.709776162525	0.996283000497	-0.013892384203	0.022795493241	-0.005138114562	0.000089194599	0.999756314945	N\A	0.025449540557	0.003503850115	0.027635974344	0.004756999966	37	3	0.209580086039	Global Trend	
5100000	553.971121	1	-1.664611683171	0.914444071426	-0.009728999378	0.114020556731	-0.018595049581	0.000077895507	0.999992299416	N\A	0.024712467991	0.003367437075	0.026911118773	0.004572534605	29	3	-0.989624912766	Global Trend	
5150000	558.614222	1	-1.638647593640	0.930736244102	-0.010299187714	0.097451778733	-0.017796487213	0.000048049169	0.999992338499	N\A	0.021151945231	0.003336557527	0.022796390091	0.003880313736	37	3	-0.494595372479	Global Trend	
