Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  DIE_d1_m8-glob-002.txt
Log File Name:                   DIE_d1_m8-glob-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2713345351
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   DIE_d1_m8-glob-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.175894
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.74 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	Global Trend	
4300000	725.649997	1	7.443141140244	0.913894282995	-0.000903457555	0.050574363258	0.000037537205	0.999847510525	N\A	0.005414950738	0.000492331843	0.005226509537	2	7	-1.434799275283	Global Trend	
4350000	728.321479	1	7.260693692508	0.934953457261	-0.003549669156	0.048440684164	0.000036968384	0.999956128230	N\A	0.005009216866	0.000450706430	0.004782409076	5	6	-2.547531785303	Global Trend	
4400000	723.127356	1	7.964119719181	0.921641470394	-0.002574454327	0.052365756556	0.000037764491	0.999893452830	N\A	0.007013177256	0.000686836158	0.007044061862	3	6	-1.946133134697	Global Trend	
4450000	724.976092	1	6.877038581905	0.928285058082	-0.003077015691	0.051553866657	0.000037720094	0.999934549699	N\A	0.005031845426	0.000452127470	0.004808033001	3	6	-2.103603371550	Global Trend	
4500000	719.273431	1	7.073665869866	0.934412095957	-0.003230396044	0.042527593365	0.000039092821	0.999915077560	N\A	0.005017987377	0.000449549827	0.004791259096	5	6	-1.905746813258	Global Trend	
4550000	719.203202	1	7.924667534909	0.943485184216	-0.002118039787	0.036350023854	0.000038620367	0.999932436589	N\A	0.007323568566	0.000726847023	0.007395697973	2	6	-2.495418334187	Global Trend	
4600000	726.334165	1	7.725118941245	0.931747617018	-0.002219658236	0.046396123997	0.000037103645	0.999930239554	N\A	0.006642512393	0.000642953685	0.006618796103	3	6	-2.253329192383	Global Trend	
4650000	720.654898	1	7.631519286810	0.922726183020	-0.003541225092	0.056181283152	0.000038382074	0.999924068081	N\A	0.006895216841	0.000671950403	0.006899106346	5	6	-2.173099970707	Global Trend	
4700000	726.602611	1	7.752806715156	0.945430318426	-0.001951556935	0.037168736117	0.000037017710	0.999954252563	N\A	0.006873312467	0.000673686564	0.006888576964	3	6	-2.821015797986	Global Trend	
4750000	721.008216	1	9.215283233552	0.917058312944	0.000627202576	0.047895711864	0.000038063845	0.999831349676	N\A	0.008240676965	0.000836189751	0.008465529586	4	6	-1.844558365589	Global Trend	
4800000	718.930014	1	7.467884709491	0.911660661590	-0.004806677811	0.067294908210	0.000038966652	0.999916384191	N\A	0.006448693705	0.000601355209	0.006351301377	4	6	-2.024381451197	Global Trend	
4850000	720.062118	1	7.997694411136	0.928474921403	-0.004392631266	0.055065105353	0.000038483720	0.999947020762	N\A	0.006920785699	0.000676265159	0.006921499700	3	6	-2.678575337766	Global Trend	
4900000	717.343979	1	9.939590402138	0.913863319592	-0.000160622735	0.047564857120	0.000038833519	0.999770310188	N\A	0.008724895758	0.000892417090	0.009002043535	4	7	-1.752836192567	Global Trend	
4950000	717.416934	1	8.989099188602	0.896035098988	-0.005728000297	0.087083281012	0.000038939925	0.999934611577	N\A	0.007863545183	0.000795346327	0.008025907897	4	6	-2.730350978607	Global Trend	
5000000	722.296104	1	7.454596775022	0.925880183149	-0.002972457598	0.050962456889	0.000038188225	0.999918198503	N\A	0.005936157186	0.000552520749	0.005790530725	3	6	-2.007264041211	Global Trend	
5050000	720.161882	1	7.255323034595	0.939425860296	-0.002863458316	0.039238210966	0.000038859382	0.999930705609	N\A	0.005104119386	0.000458784191	0.004879054791	5	6	-2.120981588207	Global Trend	
5100000	721.962329	1	9.235769342905	0.928180816759	-0.002451499873	0.044497134618	0.000037770824	0.999882423863	N\A	0.008105803112	0.000822645738	0.008313880378	3	6	-2.135378570352	Global Trend	
5150000	725.020650	1	7.536435627705	0.924694282604	-0.003422727389	0.054120568758	0.000037614728	0.999933329585	N\A	0.005668751193	0.000522234677	0.005494157973	3	7	-2.151652801466	Global Trend	
5200000	724.008219	1	8.216145064164	0.946320337302	-0.003827444712	0.041025979198	0.000037530265	0.999966800087	N\A	0.007319365005	0.000731896909	0.007404614077	3	6	-3.484740514051	Global Trend	
5250000	720.516658	1	7.518679833275	0.921371002005	-0.002827143344	0.059596922169	0.000038422614	0.999938211829	N\A	0.006688797153	0.000646125431	0.006651796667	2	6	-2.419370675165	Global Trend	
5300000	728.067288	1	8.214924848283	0.944905172411	-0.001706585159	0.034474001672	0.000036646365	0.999939646171	N\A	0.007294313791	0.000727481501	0.007395076630	4	7	-2.573046089155	Global Trend	
5350000	726.049715	1	7.570418092268	0.928358244549	-0.002612857075	0.051649344761	0.000037267605	0.999943230535	N\A	0.005907058741	0.000551052296	0.005761451055	5	6	-2.354231487660	Global Trend	
5400000	727.606445	1	7.155107511469	0.915347445728	-0.001979755798	0.058124271912	0.000037468901	0.999909627131	N\A	0.003554257773	0.000311528519	0.003336953805	5	7	-1.771924109782	Global Trend	
5450000	725.633532	1	6.879453639337	0.920872867431	-0.001682970784	0.049397527188	0.000037833668	0.999884640216	N\A	0.003843699733	0.000337603282	0.003616475054	7	6	-1.553672819841	Global Trend	
5500000	725.768812	1	6.959900503902	0.934252280754	-0.002548187010	0.049617871388	0.000038092105	0.999959948624	N\A	0.002667188318	0.000232724556	0.002488035098	4	6	-2.652214366060	Global Trend	
5550000	728.434090	1	6.726026609095	0.917230729281	-0.001314516483	0.057039266907	0.000037553093	0.999920012630	N\A	0.002367033558	0.000206064422	0.002180629753	5	6	-1.771668971468	Global Trend	
5600000	725.301524	1	7.152241654966	0.926493191930	-0.002046294665	0.053634526781	0.000038374643	0.999950519784	N\A	0.001979728109	0.000172230002	0.001821867275	2	6	-2.312004360186	Global Trend	
5650000	710.690108	1	7.333772387175	0.905709637241	-0.000268409206	0.056585137544	0.000041526076	0.999846201773	N\A	0.002926423875	0.000254930158	0.002695463121	4	5	-1.358724275284	Global Trend	
5700000	709.452238	1	7.120479905943	0.917429359585	-0.000990636299	0.053284780232	0.000042012319	0.999906968759	N\A	0.002080755969	0.000180803070	0.001884232108	6	5	-1.663529867446	Global Trend	
5750000	718.574291	1	7.173611244909	0.913507300024	-0.000678724473	0.052624880051	0.000039711444	0.999879524265	N\A	0.002540117130	0.000221031916	0.002324853252	6	5	-1.465499196830	Global Trend	
5800000	720.822091	1	6.788306656646	0.947541566811	-0.001184614582	0.035871687671	0.000038546030	0.999978319839	N\A	0.003876843946	0.000340778128	0.003633450769	7	6	-2.736542096356	Global Trend	
5850000	709.735659	1	7.419733197184	0.951782892448	-0.000356711835	0.021161054857	0.000040776949	0.999939809295	N\A	0.006287798263	0.000586100498	0.006143707804	5	6	-1.916443868669	Global Trend	
5900000	708.486308	1	7.565606531852	0.951957730042	0.000086098502	0.026354111152	0.000041091943	0.999956625544	N\A	0.006375146043	0.000597634679	0.006235880042	5	6	-2.479518645772	Global Trend	
