Species_TTOL	MOB	rest_of_brain	BOD	BOD2
Rhinonicteris_aurantia	0.588	2.36980993185743	0.934	0.872356
Rhinophylla_pumilio	1.274	2.52389337701925	0.949	0.900601
Rhinopoma_hardwickii	0.789	2.41517493551946	1.111	1.234321
Rhinopoma_microphyllum	0.944	2.56167523073907	1.468	2.155024
Rhogeessa_parvula	0.447	2.02540404611476	0.653	0.426409
Rhynchonycteris_naso	-0.041	2.04732050651951	0.58	0.3364
Saccopteryx_bilineata	0.299	2.33483311530367	0.924	0.853776
Saccopteryx_canescens	0.045	2.08934484317686	0.531	0.281961
Saccopteryx_leptura	0.134	2.18322541361085	0.708	0.501264
Scotomanes_ornatus	0.914	2.55494722650546	1.338	1.790244
Scotophilus_dinganii	1.041	2.6152095371468	1.386	1.920996
Scotophilus_kuhlii	0.83	2.50605597481635	1.31	1.7161
Sphaeronycteris_toxophyllum	1.072	2.69540272673135	1.265	1.600225
Sturnira_lilium	1.453	2.7664442150746	1.305	1.703025
Sturnira_ludovici	1.496	2.79971581818209	1.413	1.996569
Sturnira_tildae	1.513	2.82056767486967	1.387	1.923769
Tadarida_aegyptiaca	1	2.56759514736225	1.248	1.557504
Taphozous_australis	0.936	2.68911434548403	1.38	1.9044
Taphozous_hildegardeae	1.041	2.71134274302204	1.438	2.067844
Taphozous_mauritianus	0.992	2.71797961523504	1.462	2.137444
Taphozous_melanopogon	1.004	2.70480831622297	1.356	1.838736
Tonatia_bidens	1.481	2.87212442061372	1.468	2.155024
Lophostoma_schulzi	0.954	2.67681030271887	1.328	1.763584
Trachops_cirrhosus	1.371	2.97719852358353	1.567	2.455489
Triaenops_persicus	0.718	2.41026109600416	1.137	1.292769
Tylonycteris_pachypus	0.25	1.87843900376487	0.681	0.463761
Tylonycteris_robustula	0.459	2.03440793493338	0.857	0.734449
Uroderma_bilobatum	1.458	2.76341624316696	1.21	1.4641
Vampyressa_pusilla	1.164	2.55572901399533	0.934	0.872356
Vampyrum_spectrum	1.964	3.38883839645361	2.238	5.008644
Alouatta_seniculus	1.617	4.69064476860801	3.806	14.485636
Aotus_trivirgatus	1.748	4.20956514451613	2.919	8.520561
Ateles_geoffroyi	1.956	5.00423671459412	3.903	15.233409
Avahi_laniger	1.95	3.99079117597203	3.109	9.665881
Plecturocebus_moloch	1.283	4.24999973790912	2.954	8.726116
Callimico_goeldii	1.431	4.02141427425862	2.681	7.187761
Callithrix_jacchus	1.358	3.86010428447601	2.447	5.987809
Cebuella_pygmaea	1.09	3.63358773263483	2.146	4.605316
Cebus_albifrons	1.601	4.8258408678735	3.491	12.187081
Cercopithecus_ascanius	1.998	4.80297404128273	3.531	12.467961
Cercopithecus_mitis_mitis	2.068	4.84835244065239	3.799	14.432401
Cheirogaleus_major	2.199	3.80396492768725	2.653	7.038409
Cheirogaleus_medius	2.009	3.4708780230274	2.248	5.053504
Daubentonia_madagascariensis	2.836	4.6294722319675	3.447	11.881809
Erythrocebus_patas	1.714	5.01330305301563	3.892	15.147664
