Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  AMY_d1_m3-glob-004.txt
Log File Name:                   AMY_d1_m3-glob-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2048693461
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   AMY_d1_m3-glob-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.287140
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.67 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	No RJ Local Node	No RJ LS Betas	Global Trend	
5750000	406.949073	1	0.476630379619	0.702214393100	-0.038891201204	0.000152516431	0.926159587527	N\A	0.022141007892	0.004740014170	39	7	-0.001446609783	Global Trend	
5800000	405.517996	1	0.438859000742	0.725513819957	-0.043271337599	0.000237864057	0.925944704484	N\A	0.021840625633	0.004982460321	38	7	-0.001186822639	Global Trend	
5850000	401.271943	1	0.311756374896	0.746532303781	-0.044272113275	0.000226067032	0.917863966542	N\A	0.022022878965	0.004767824939	34	8	0.000245903712	Global Trend	
5900000	400.825274	1	0.392268436325	0.733714478179	-0.042557124941	0.000213304801	0.925933836050	N\A	0.022883607444	0.004876277804	33	8	-0.000734060417	Global Trend	
5950000	406.560876	1	0.387380943441	0.757636300874	-0.048370990935	0.000151307036	0.918694190652	N\A	0.021938452133	0.004763128101	24	8	-0.001118131648	Global Trend	
6000000	403.306999	1	0.327208584658	0.670161162754	-0.030932945527	0.000218800460	0.919232396073	N\A	0.021688456332	0.004670140500	31	9	0.001544884235	Global Trend	
6050000	384.674965	1	0.352935455358	0.726394270818	-0.038802297286	0.000404857071	0.927519980884	N\A	0.021347158752	0.005184849068	36	7	-0.000254096462	Global Trend	
6100000	404.333372	1	0.429307338619	0.751967178735	-0.046082079062	0.000258499794	0.923472388779	N\A	0.021999507062	0.004792849706	38	9	-0.002219844029	Global Trend	
6150000	388.298803	1	0.337564240593	0.745614740726	-0.045038319769	0.000179574349	0.914820579879	N\A	0.022203843630	0.004714883545	37	13	-0.000486612420	Global Trend	
6200000	396.612135	1	0.436898870845	0.707305055858	-0.038180289885	0.000329345079	0.922061591374	N\A	0.021658639518	0.004668423509	38	7	-0.000574848270	Global Trend	
6250000	400.662509	1	0.384479917491	0.749520450770	-0.044814923348	0.000270455352	0.937344318019	N\A	0.017320375265	0.004154924385	36	8	-0.001032181878	Global Trend	
6300000	398.377312	1	0.405098386767	0.713336169227	-0.041322840874	0.000279658621	0.918593502156	N\A	0.021820240051	0.004778941463	38	6	-0.000498337804	Global Trend	
6350000	398.885220	1	0.439404817959	0.724437552491	-0.047022520114	0.000170641729	0.926509942998	N\A	0.023039491532	0.004972711166	41	8	-0.000069007882	Global Trend	
6400000	402.799854	1	0.420184629135	0.744106971555	-0.043227161610	0.000150210163	0.922269463041	N\A	0.022403206175	0.005000653305	37	9	-0.000818956346	Global Trend	
6450000	392.434554	1	0.399084303889	0.686721498055	-0.030504924297	0.000234576425	0.917113081173	N\A	0.023106485127	0.005005455351	36	7	-0.000290083084	Global Trend	
6500000	394.721302	1	0.407880132611	0.766929133435	-0.046269647028	0.000239860570	0.916374752503	N\A	0.022399345734	0.004747760905	32	10	-0.002024146522	Global Trend	
6550000	410.910908	1	0.491483327866	0.722477190769	-0.036975854193	0.000280231675	0.933033515843	N\A	0.019728254559	0.003772810869	41	11	-0.003248119755	Global Trend	
6600000	397.228156	1	0.330819260532	0.694851802281	-0.031976781749	0.000227656240	0.927524577252	N\A	0.020761329161	0.004758995297	38	9	-0.000173359435	Global Trend	
6650000	394.923626	1	0.503850271268	0.752225355347	-0.044583601245	0.000561859212	0.922134886722	N\A	0.022021058191	0.004897051778	38	11	-0.003762578942	Global Trend	
6700000	406.471932	1	0.388754392599	0.755447478258	-0.046747237019	0.000323949533	0.926596532935	N\A	0.020314932706	0.004328464001	38	10	-0.001860596885	Global Trend	
6750000	402.035377	1	0.433902290366	0.743994598575	-0.047053396797	0.000388043973	0.923692742861	N\A	0.021520023356	0.004832578324	34	9	-0.002954144470	Global Trend	
6800000	416.891522	1	0.404787324909	0.759281471283	-0.050314198577	0.000292664181	0.930289136029	N\A	0.020166920624	0.004494272849	39	12	-0.001632937698	Global Trend	
6850000	411.031197	1	0.388060508616	0.709582003567	-0.041685228052	0.000176610732	0.930079212724	N\A	0.021106660324	0.004901058213	34	13	0.000402572050	Global Trend	
6900000	396.214085	1	0.514545301938	0.695574692302	-0.034155020825	0.000204487328	0.920885970304	N\A	0.022498736626	0.004555608655	39	10	-0.002698151375	Global Trend	
