Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SEP_d1_m9-fab-006.txt
Log File Name:                   SEP_d1_m9-fab-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1126777032
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SEP_d1_m9-fab-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.248843
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.69 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	
4700000	568.709922	1	-2.021050359383	1.270516861083	-0.063872361035	-0.032860742594	0.015108605402	0.000084428760	0.972375200076	N\A	0.095316562558	0.013645490850	0.040399144226	0.007612462371	23	4	
4750000	565.575130	1	-1.907145967016	1.157795503462	-0.043993004492	-0.014694487375	0.007418979460	0.000088954249	0.976540519059	N\A	0.070099700285	0.008753299945	0.034715244526	0.005626233317	25	6	
4800000	561.512854	1	-2.098317358156	1.259956491605	-0.058461004450	-0.057887682728	0.016173959112	0.000085712796	0.974014611170	N\A	0.070027786403	0.008598898086	0.034079159685	0.005392663165	34	5	
4850000	560.316059	1	-2.148213109116	1.319453198575	-0.068870533864	-0.032585749172	0.013188886843	0.000064534065	0.975145422190	N\A	0.065174527492	0.007863458397	0.033258183029	0.005180308251	33	4	
4900000	567.791676	1	-2.068357463169	1.262178188433	-0.061804141480	-0.002784207423	0.009891708704	0.000056087790	0.976376456902	N\A	0.076690777881	0.010660908168	0.034956270794	0.006346012498	31	3	
4950000	572.268209	1	-1.989518915941	1.182997349286	-0.038410296932	-0.038177498970	0.006697766034	0.000075168413	0.978020156556	N\A	0.066324141369	0.008392188675	0.033522038092	0.005441297925	38	8	
5000000	563.457098	1	-1.735667534187	1.004100233638	-0.018861206633	0.042938345304	-0.004745312535	0.000058722090	0.977146951123	N\A	0.071594737237	0.009436807009	0.033777693971	0.005797649429	40	4	
5050000	563.835589	1	-1.817415563448	1.018932177187	-0.015006710257	0.069474760293	-0.016544717442	0.000063952683	0.981880395737	N\A	0.068958919974	0.010225480317	0.031543658750	0.006120551931	34	2	
5100000	554.638022	1	-1.747163914071	0.996533566771	-0.020643773642	0.078639774236	-0.008216066564	0.000071555338	0.976819428360	N\A	0.065948846409	0.009812964531	0.030599094335	0.006000630502	44	2	
5150000	571.366072	1	-1.761394324682	1.024874012510	-0.021628682547	0.053668354058	-0.010132149982	0.000066615771	0.979585902940	N\A	0.072303453251	0.009882510967	0.033757750800	0.006095838288	38	2	
5200000	564.194750	1	-1.801225885431	1.059430378868	-0.026408588783	0.011160903154	-0.000239938935	0.000059843904	0.978423665314	N\A	0.079243876606	0.011943974359	0.033193278725	0.006495619037	36	3	
5250000	558.650524	1	-1.742018507889	1.028146648153	-0.016190290083	-0.003192532953	-0.002346591246	0.000067119971	0.977660458951	N\A	0.062438878520	0.007867421272	0.030911349632	0.005182402039	46	2	
5300000	572.298839	1	-1.718103121941	1.012474951490	-0.021529706202	0.038284323698	-0.004339321854	0.000070795109	0.976785359022	N\A	0.069219952576	0.009272523511	0.032790335179	0.005708938381	37	3	
5350000	560.139997	1	-1.598670188785	0.929463425297	-0.017587895432	0.096186842764	-0.009092885385	0.000060464626	0.973926638736	N\A	0.075773970110	0.010127797671	0.035551118094	0.005992174093	32	3	
5400000	560.442964	1	-1.823192930419	1.044124560742	-0.023629431138	0.024133073244	-0.001740304394	0.000077626439	0.975355850686	N\A	0.078143597592	0.011167521993	0.035020335757	0.006493443576	32	0	
5450000	565.175851	1	-1.745040013903	1.029707999494	-0.021657049977	0.046882087787	-0.009663199289	0.000071260227	0.973248964627	N\A	0.080520362760	0.011873022078	0.035249433798	0.006725849041	37	3	
5500000	563.415175	1	-1.879273631473	1.119754077285	-0.033640384503	0.007699448850	-0.004192243420	0.000072229392	0.974981205783	N\A	0.080359314877	0.011481891824	0.035707779896	0.006704869378	26	3	
