Species_TTOL	MES	rest_of_brain	rest_of_brain2	BOD
Pteropus_poliocephalus	2.528	3.0789623596587	9.48000921219507	2.842
Pteropus_samoensis	2.4	3.0789623596587	9.48000921219507	2.491
Pteropus_scapulatus	2.373	3.0789623596587	9.48000921219507	2.574
Pteropus_temminckii	2.353	3.0789623596587	9.48000921219507	2.398
Pteropus_tonganus	2.394	3.0789623596587	9.48000921219507	2.652
Pteropus_vampyrus	2.581	3.0789623596587	9.48000921219507	3.027
Rousettus_aegyptiacus	2.038	3.0789623596587	9.48000921219507	2.111
Rousettus_amplexicaudatus	1.914	3.0789623596587	9.48000921219507	1.856
Scotonycteris_zenkeri	1.623	3.0789623596587	9.48000921219507	1.328
Sphaerias_blanfordi	1.69	3.0789623596587	9.48000921219507	1.47
Syconycteris_australis	1.517	3.0789623596587	9.48000921219507	1.207
Anoura_caudifer	1.394	3.0789623596587	9.48000921219507	1.025
Anoura_geoffroyi	1.538	3.0789623596587	9.48000921219507	1.204
Ardops_nichollsi	1.528	3.0789623596587	9.48000921219507	1.352
Artibeus_cinereus	1.473	3.0789623596587	9.48000921219507	1.1
Artibeus_concolor	1.634	3.0789623596587	9.48000921219507	1.288
Artibeus_jamaicensis	1.77	3.0789623596587	9.48000921219507	1.613
Artibeus_lituratus	1.838	3.0789623596587	9.48000921219507	1.748
Aselliscus_stoliczkanus	1.152	3.0789623596587	9.48000921219507	0.69
Aselliscus_tricuspidatus	1.146	3.0789623596587	9.48000921219507	0.643
