Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  STR_d1_m7-VR-003.txt
Log File Name:                   STR_d1_m7-VR-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            560977032
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   STR_d1_m7-VR-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Branch	No RJ Local Node	
5150000	528.835183	1	-1.546753396519	1.132046872221	-0.093660353255	-0.000368882225	0.000113565641	0.980902501334	N\A	0.028758294665	0.025882214005	0.003104443525	50	26	
5200000	530.513498	1	-1.482178932831	1.104279751697	-0.095802580534	0.007458938133	0.000179740580	0.985762819375	N\A	0.025433355147	0.024998347631	0.003294431981	51	22	
5250000	524.126110	1	-1.504026025075	1.105084483225	-0.065037138582	-0.001164218716	0.000252994436	0.976392640314	N\A	0.028691216041	0.026898719855	0.003605499544	48	21	
5300000	535.908682	1	-1.424142259015	1.053670369096	-0.035536783271	-0.000108566498	0.000077930708	0.986399731209	N\A	0.023232856651	0.021056035970	0.002885472467	41	27	
5350000	531.841563	1	-1.555322644929	1.118994897545	-0.066043298720	-0.003229426259	0.000130705803	0.981062142340	N\A	0.023162174389	0.023003572966	0.003018384836	48	22	
5400000	533.553922	1	-1.490190491504	1.124487193669	-0.111520765110	0.006112646179	0.000193199433	0.983228275263	N\A	0.026627413121	0.023887675491	0.003193027348	52	27	
5450000	537.488884	1	-1.430126144261	1.067060472005	-0.061287935914	0.005423338409	0.000267516881	0.985741180892	N\A	0.026373140237	0.019986395901	0.002846974379	46	28	
5500000	537.259720	1	-1.662794563554	1.190078496519	-0.126818170514	0.000633197609	0.000128834762	0.982269563226	N\A	0.024903500294	0.023863969947	0.003139925678	43	25	
5550000	527.893586	1	-1.544439591193	1.123911670887	-0.075007117910	-0.002198410773	0.000236703518	0.977209481463	N\A	0.030642873843	0.027929649227	0.003214061504	50	32	
5600000	527.158393	1	-1.541762124133	1.139937642294	-0.120823499019	0.006781860830	0.000168120545	0.972989282160	N\A	0.031933655647	0.028530464015	0.003567961959	49	30	
5650000	531.271579	1	-1.555178328903	1.156725628072	-0.146402069491	0.009506269548	0.000176983143	0.978904650977	N\A	0.028468396254	0.025951065165	0.003367486790	41	20	
5700000	529.321436	1	-1.564396007427	1.144558568400	-0.105637132725	0.005531921136	0.000092598082	0.977406638135	N\A	0.029447511868	0.026140348299	0.003610404129	47	27	
5750000	540.010303	1	-1.462765821874	1.075405831807	-0.048517345550	0.000128172008	0.000129605942	0.987056817018	N\A	0.022794103202	0.020881730698	0.002699617647	44	24	
