Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  PAL_d1_m8-VR-001.txt
Log File Name:                   PAL_d1_m8-VR-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2595392715
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   PAL_d1_m8-VR-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Branch	No RJ Local Node	
5750000	397.345155	1	-1.358746969834	1.194385606962	-0.052244521642	0.040699624525	0.000360275434	0.942251055233	N\A	0.061729292552	0.008752739298	0.030526827154	51	33	
5800000	409.341511	1	-1.328127435294	1.268673354076	-0.056829318824	0.002094912012	0.000334987909	0.945013942814	N\A	0.062361998151	0.008794266981	0.028638887710	48	28	
5850000	403.595302	1	-1.462069818071	1.297955415251	-0.054806695377	-0.031766850271	0.000334654497	0.951415367345	N\A	0.061173199237	0.008916630108	0.030517284743	51	29	
5900000	412.937298	1	-1.035055119126	1.067373954651	-0.031471385179	0.041106076510	0.000353784888	0.945103539936	N\A	0.065276546496	0.009288753757	0.029586342436	42	29	
5950000	395.650376	1	-1.264010896478	1.117683467011	-0.031568459850	0.005627660423	0.000425018722	0.954793631804	N\A	0.061420640736	0.008139227466	0.025238028218	48	30	
6000000	393.469360	1	-1.296658366325	1.240705683852	-0.061135228696	0.041798792752	0.000397976841	0.942193795783	N\A	0.066214451687	0.008755475704	0.031920748441	40	21	
6050000	403.848294	1	-1.542639927740	1.280790308734	-0.050192185528	-0.026501947222	0.000409757550	0.951678268869	N\A	0.060220411785	0.009389250451	0.027331598723	44	20	
6100000	406.424787	1	-1.415208095345	1.228681742639	-0.054494364331	0.022005441553	0.000237165482	0.947432354171	N\A	0.055016168456	0.007810630858	0.025596389143	44	23	
6150000	378.930692	1	-1.215893370149	1.190212867447	-0.041238870964	-0.003945224450	0.000155643523	0.935516477384	N\A	0.074984313481	0.009727393321	0.030675505157	46	22	
6200000	387.840761	1	-1.426656660983	1.302430128728	-0.049612727523	-0.049406000742	0.000145099319	0.940080353221	N\A	0.071498628229	0.009884999484	0.032860615876	47	31	
6250000	391.879030	1	-1.457790303685	1.190147264112	-0.030945114617	-0.039626446294	0.000264566053	0.940669468380	N\A	0.068535073426	0.008731671508	0.030478502041	44	24	
6300000	405.771463	1	-1.323518932936	1.226117589344	-0.050370149627	0.008980789432	0.000313876800	0.939990528469	N\A	0.065037251859	0.010096822817	0.032015519311	51	21	
6350000	411.384914	1	-1.248814698682	1.148715178139	-0.033624968796	0.009787092870	0.000244033801	0.957444177690	N\A	0.056652242492	0.007898361844	0.025933761354	38	30	
6400000	385.406930	1	-1.548003275236	1.371255912518	-0.067299445117	-0.003842774822	0.000323011761	0.936843992729	N\A	0.068448945704	0.009492865443	0.032507373528	49	25	
6450000	390.693600	1	-1.044229226774	1.031218657306	-0.043434262504	0.110774186090	0.000202458550	0.954204424344	N\A	0.058142822156	0.007441173863	0.028418114237	50	31	
6500000	394.402142	1	-1.258498675782	1.146235661857	-0.032215664457	0.004356522045	0.000232005541	0.942963354650	N\A	0.064052298509	0.009061738130	0.029353535596	45	28	
6550000	406.902238	1	-1.390663375220	1.273566104892	-0.059710942385	0.029558451590	0.000234293488	0.942113279341	N\A	0.065117410649	0.008908038225	0.032332049178	52	33	
6600000	383.010658	1	-1.567607894408	1.387195480637	-0.066952498707	-0.016547884680	0.000201949551	0.942657842370	N\A	0.069785260425	0.009208223768	0.032654110170	49	30	
6650000	409.070513	1	-1.393236334629	1.293332134643	-0.047339388046	-0.031296251351	0.000296808409	0.946833932150	N\A	0.064420930810	0.008818446417	0.029542278070	46	24	
6700000	397.382891	1	-1.272162818191	1.207895393680	-0.030143982502	-0.053522482298	0.000369020124	0.954563950263	N\A	0.055108487031	0.008973344180	0.025570376160	54	24	
6750000	399.396020	1	-1.211129965313	1.180384232741	-0.046819516860	0.031104964849	0.000255443539	0.941700769591	N\A	0.064930881734	0.008444177778	0.029154272252	57	27	
