Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  AMY_d1_m9-fab-006.txt
Log File Name:                   AMY_d1_m9-fab-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3336347696
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   AMY_d1_m9-fab-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.287140
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.67 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	
3900000	505.302735	1	-1.299019187030	1.003293364211	-0.038212810532	0.088019386508	-0.009319659282	0.000100722804	0.959727605839	N\A	0.091397098339	0.010408675259	0.044560089699	0.006384261482	32	5	
3950000	524.076804	1	-1.900838058892	1.431525836714	-0.095900818491	-0.043226952739	0.014944941656	0.000061748019	0.975930862830	N\A	0.054893753310	0.008345403600	0.026320643025	0.005738917701	37	8	
4000000	491.474968	1	-1.600908977942	1.186059662889	-0.057822320871	0.035892799035	0.001244057646	0.000083745843	0.961496068164	N\A	0.092171154862	0.013185692843	0.041572532801	0.007859474421	42	3	
4050000	509.010892	1	-1.214460056223	0.918416513038	-0.032338829827	0.164341979618	-0.016327628928	0.000105992125	0.959475100129	N\A	0.080789022294	0.009876003969	0.039753795139	0.006296731611	33	3	
4100000	511.216212	1	-1.864658920770	1.419418564579	-0.095891002080	-0.051760083193	0.020583198079	0.000098268926	0.962390978378	N\A	0.091430336283	0.013229920984	0.040902822617	0.007701079317	31	4	
4150000	497.449178	1	-1.855288589766	1.362588775317	-0.074317607925	-0.042728600046	0.004759330630	0.000119520053	0.961717026586	N\A	0.090610418923	0.013031049650	0.039646157174	0.007386631401	35	3	
4200000	498.566783	1	-1.731970795991	1.334643756722	-0.082858589877	-0.038970673911	0.013811391413	0.000097954723	0.955236254959	N\A	0.083987293233	0.012636868084	0.038481771465	0.007511664552	36	2	
4250000	509.368230	1	-1.731060377406	1.294105884972	-0.068002694361	-0.050580152853	0.011612587361	0.000107914264	0.962399081993	N\A	0.096649367004	0.014201682919	0.040389374455	0.007667722451	42	3	
4300000	515.302445	1	-1.626321838087	1.218785025639	-0.063810414579	0.008257919787	0.006466299374	0.000117114848	0.963081823261	N\A	0.091332509733	0.012878446614	0.038295687597	0.006896342132	45	5	
4350000	510.447020	1	-1.654436241344	1.234037552011	-0.069339192309	0.010367050095	0.011540534772	0.000087528762	0.963329823533	N\A	0.083672560540	0.011525534950	0.036430466868	0.006549732283	45	6	
4400000	509.743108	1	-1.698996457538	1.300959840376	-0.075815700926	-0.011146944848	0.012258459714	0.000111265993	0.964852151444	N\A	0.075632106268	0.010850849513	0.034067225398	0.006204963487	29	4	
4450000	502.780317	1	-1.671513208926	1.303534274786	-0.085296140019	-0.000572793849	0.012466922829	0.000093023159	0.960243248455	N\A	0.090247106213	0.011656924041	0.040600435332	0.006762760078	50	6	
4500000	498.997362	1	-1.785515716456	1.341708549250	-0.077158973574	-0.044164127947	0.012191955007	0.000078354726	0.972577964448	N\A	0.075308248157	0.010496042756	0.032928281985	0.006027192523	49	4	
4550000	503.489624	1	-1.761403549371	1.313747815506	-0.076889237752	-0.030200278534	0.014949954277	0.000112363967	0.970067089140	N\A	0.061897219585	0.009341630870	0.028651885353	0.005741322044	37	2	
4600000	507.243633	1	-1.494240874582	1.144128398552	-0.054998094668	0.046555723365	-0.003698953938	0.000123524759	0.959204788605	N\A	0.084359392869	0.010282175586	0.041506691248	0.006543520598	39	4	
4650000	504.230798	1	-1.976243512569	1.489101521614	-0.104209593492	-0.069939585619	0.021585600024	0.000134358963	0.975089527988	N\A	0.079007544503	0.010696596058	0.030648133396	0.006094984935	36	4	
4700000	521.318218	1	-1.624971779706	1.224926589617	-0.068344838175	0.026809931238	0.005514267298	0.000105591905	0.962313101815	N\A	0.095850520587	0.013747468437	0.040903275841	0.007851691882	35	5	
4750000	511.060565	1	-1.730288950608	1.300393587085	-0.073376235571	-0.014988388069	0.007583636017	0.000078324126	0.974408080584	N\A	0.088819052957	0.012445149205	0.037146312172	0.006732058963	33	7	
4800000	515.843470	1	-1.270716644994	0.968045823825	-0.037500812893	0.127436215175	-0.009035752112	0.000114466260	0.961844820361	N\A	0.088202741758	0.012225634004	0.040173260969	0.006897542411	35	7	
4850000	515.274784	1	-1.724054913806	1.264425334460	-0.071334492563	0.010117660089	0.010521857445	0.000088245576	0.965413287460	N\A	0.080856582346	0.010811181387	0.037513501613	0.006286771712	35	5	
4900000	493.491683	1	-1.949292696024	1.477416196923	-0.098356932991	-0.106452455905	0.026584501602	0.000102233942	0.959524661657	N\A	0.092883193636	0.012904591602	0.041017472009	0.006979711982	42	2	
