Species_TTOL	SEP	rest_of_brain	BOD	BOD2
Paranyctimene_raptor	0.975	2.83904237199348	1.86328760196422	3.47184068763358
Pteropus_alecto	1.956	3.82069860124938	1.86328760196422	3.47184068763358
Pteropus_conspicillatus	1.987	3.89493121910952	1.86328760196422	3.47184068763358
Pteropus_hypomelanus	1.844	3.69716131393364	1.86328760196422	3.47184068763358
Pteropus_lylei	1.845	3.75598421253182	1.86328760196422	3.47184068763358
Pteropus_neohibernicus	1.986	3.92848620624869	1.86328760196422	3.47184068763358
Pteropus_poliocephalus	1.955	3.83016987335255	1.86328760196422	3.47184068763358
Pteropus_samoensis	1.827	3.73626675041077	1.86328760196422	3.47184068763358
Pteropus_scapulatus	1.829	3.70549571470575	1.86328760196422	3.47184068763358
Pteropus_temminckii	1.808	3.66354900940771	1.86328760196422	3.47184068763358
Pteropus_tonganus	1.87	3.75825829746648	1.86328760196422	3.47184068763358
Pteropus_vampyrus	2.055	3.92972371176801	1.86328760196422	3.47184068763358
Rousettus_aegyptiacus	1.505	3.32486399626551	1.86328760196422	3.47184068763358
Rousettus_amplexicaudatus	1.36	3.1617898919156	1.86328760196422	3.47184068763358
Scotonycteris_zenkeri	0.965	2.8251361190744	1.86328760196422	3.47184068763358
Sphaerias_blanfordi	1.161	2.89058047078486	1.86328760196422	3.47184068763358
Syconycteris_australis	0.991	2.75449107699007	1.86328760196422	3.47184068763358
Anoura_caudifer	0.76	2.5806238378183	1.86328760196422	3.47184068763358
Anoura_geoffroyi	0.93	2.74657171798292	1.86328760196422	3.47184068763358
Ardops_nichollsi	0.87	2.72119019257957	1.86328760196422	3.47184068763358
Artibeus_cinereus	0.79	2.64696591916355	1.86328760196422	3.47184068763358
Artibeus_concolor	0.88	2.77277474031503	1.86328760196422	3.47184068763358
Artibeus_jamaicensis	1.08	2.98333261088124	1.86328760196422	3.47184068763358
Artibeus_lituratus	1.18	3.06496819373968	1.86328760196422	3.47184068763358
Aselliscus_stoliczkanus	0.22	2.14627742243429	1.86328760196422	3.47184068763358
Aselliscus_tricuspidatus	0.24	2.0993562087761	1.86328760196422	3.47184068763358
Brachyphylla_cavernarum	1.24	3.05292228999784	1.86328760196422	3.47184068763358
Cardioderma_cor	0.84	2.79992584642206	1.86328760196422	3.47184068763358
Carollia_perspicillata	0.85	2.71324648190518	1.86328760196422	3.47184068763358
Chalinolobus_gouldii	0.53	2.35195774032069	1.86328760196422	3.47184068763358
Chalinolobus_morio	0.43	2.24071974568802	1.86328760196422	3.47184068763358
Chiroderma_salvini	0.96	2.88624082329356	1.86328760196422	3.47184068763358
