Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SCH_d1_m9-fab-005.txt
Log File Name:                   SCH_d1_m9-fab-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            68364231
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SCH_d1_m9-fab-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.179389
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.74 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	
4550000	461.855394	1	-2.020170628575	1.398567632590	-0.060761934916	-0.087185576612	0.013066685917	0.000121331989	0.965302630946	N\A	0.117047457515	0.017060966873	0.047715129099	0.008346945382	33	5	
4600000	483.715407	1	-2.363050973903	1.638884376942	-0.077504800821	-0.208794383620	0.020089232006	0.000038117371	0.964442060374	N\A	0.096437730021	0.012143331011	0.045387601334	0.007161543696	45	9	
4650000	485.479729	1	-2.010643126203	1.398376294606	-0.060486145088	-0.107317618055	0.018252317911	0.000113355151	0.967885641300	N\A	0.104678168786	0.014682086143	0.045217784233	0.007702655987	38	4	
4700000	472.257957	1	-2.414050635962	1.694924978434	-0.079076159348	-0.293389088456	0.029311624571	0.000200950440	0.964723827239	N\A	0.118238793974	0.016497087064	0.050366012625	0.008311538771	37	1	
4750000	472.284034	1	-2.164267274829	1.531804299463	-0.077821721443	-0.158937192420	0.025225665456	0.000129996049	0.962695230240	N\A	0.119879663610	0.017170506626	0.049440224903	0.008634834239	30	3	
4800000	472.760890	1	-2.134154926651	1.508231724715	-0.068531079692	-0.188403742299	0.026153664019	0.000098921031	0.961946691085	N\A	0.135544057829	0.019688269655	0.052466330645	0.009585343140	40	4	
4850000	485.536337	1	-1.993865264168	1.406044518995	-0.065071723170	-0.080327511561	0.013497967621	0.000106653572	0.965792928350	N\A	0.101229368448	0.014662551278	0.044031670104	0.007783714529	40	4	
4900000	475.782373	1	-2.101991932974	1.464774591370	-0.063675378360	-0.145630792107	0.019251619771	0.000170424184	0.963568305419	N\A	0.109076311683	0.016222582022	0.046976199813	0.009010610238	41	3	
4950000	470.653234	1	-1.835383258113	1.274666888530	-0.052787420918	0.011672895454	-0.000147356798	0.000145479427	0.965293127418	N\A	0.105140966327	0.014153378746	0.046314001708	0.007441134546	40	1	
5000000	486.715763	1	-1.997773059802	1.401941900897	-0.062641471759	-0.093580249338	0.014075602486	0.000088071032	0.967974968276	N\A	0.104212368775	0.014729233548	0.044251168114	0.007624449733	39	4	
5050000	482.139268	1	-1.828904954896	1.294230825254	-0.046730979140	-0.073337614350	0.012061140116	0.000058358240	0.966541706092	N\A	0.113616636199	0.016008241162	0.047411202948	0.007966137584	38	3	
5100000	475.075524	1	-1.879829683896	1.317704307798	-0.043104885921	-0.087724663896	0.003075635248	0.000090566387	0.966883353451	N\A	0.112179326081	0.016088495814	0.046576177173	0.008031676483	36	4	
5150000	475.864291	1	-1.726376649943	1.217206180121	-0.026456451156	-0.098453737793	0.004569861057	0.000096789724	0.968402489555	N\A	0.112897076763	0.017334699963	0.046128097789	0.008653174191	37	5	
5200000	486.527733	1	-2.075740292577	1.456743556274	-0.081895780637	-0.046800683016	0.014847413334	0.000118691296	0.965539360948	N\A	0.101020304989	0.013641436953	0.044352134494	0.007493947454	38	3	
5250000	476.441517	1	-2.306491466294	1.617704096719	-0.088321890450	-0.165763342040	0.024235652942	0.000155116207	0.964697297837	N\A	0.118030260796	0.017590908530	0.045665921106	0.008499777711	41	2	
5300000	466.788509	1	-2.210898759587	1.554600865358	-0.078873795018	-0.143132700102	0.014148983616	0.000124117885	0.966186858600	N\A	0.122699423408	0.018016633666	0.048881625081	0.008948887509	38	2	
5350000	491.315889	1	-1.991414433978	1.371552128833	-0.064876055276	-0.018984575976	0.004393251560	0.000093530311	0.964454493052	N\A	0.122242855199	0.017721252521	0.049464698764	0.009207551995	38	4	
5400000	470.487375	1	-2.405614826590	1.732768351973	-0.110605310067	-0.221268457167	0.039451745959	0.000127545913	0.964516746128	N\A	0.117757890085	0.016493544521	0.049853729506	0.008532585058	36	2	
5450000	483.166463	1	-1.957089205564	1.417748674175	-0.072627359325	-0.091119737814	0.019665840275	0.000084714683	0.969892162694	N\A	0.093063766289	0.015021412913	0.040223290631	0.008019178676	38	4	
