Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MED_d1_m9-glob-004.txt
Log File Name:                   MED_d1_m9-glob-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            4275248147
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MED_d1_m9-glob-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.275310
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.67 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	Global Trend	
4150000	639.036909	1	-0.509384516059	0.869589649414	-0.039992450434	0.167960232957	0.005483844649	0.000088268252	0.989654871705	N\A	0.023531344263	0.002918754052	0.021162497890	0.003162433616	43	5	0.027132830494	Global Trend	
4200000	629.989327	1	-0.511962475828	0.859418174541	-0.040033710521	0.172267155315	0.008414701981	0.000077210995	0.999956752508	N\A	0.019476557993	0.002461181406	0.021161003505	0.003438687318	36	3	0.465839313891	Global Trend	
4250000	618.293052	1	-0.391386592095	0.795456633152	-0.038913408979	0.238648422998	0.000605548174	0.000080911325	0.996657543076	N\A	0.019578608017	0.002508593519	0.020376679485	0.003219678485	43	2	-0.044350213234	Global Trend	
4300000	633.946383	1	-0.485804155469	0.877433282082	-0.043005020862	0.154009464251	0.011113601767	0.000071058179	0.999967776148	N\A	0.018414474679	0.002466755345	0.020156762834	0.003476492937	38	2	-0.436356135165	Global Trend	
4350000	606.196461	1	-0.455520085183	0.803862657192	-0.036324608183	0.235640021016	-0.004015162586	0.000059867961	0.993978831903	N\A	0.020057082250	0.002513869845	0.018709399403	0.003150901505	39	1	-0.019995358626	Global Trend	
4400000	631.802571	1	-0.478456738202	0.818073097149	-0.037407706083	0.219187275582	-0.000748949527	0.000044851436	0.988032185851	N\A	0.025571731684	0.003241562335	0.022566333002	0.003408790987	48	4	0.011906089841	Global Trend	
4450000	620.404551	1	-0.506506285919	0.876012597290	-0.046015810687	0.157381566368	0.012542110380	0.000069126022	0.999965975106	N\A	0.018249004439	0.002449888296	0.019940045331	0.003608892869	45	3	0.435349694626	Global Trend	
4500000	617.413524	1	-0.540704096106	0.874750341837	-0.043865102288	0.162230187271	0.008570795185	0.000079687915	0.999325922999	N\A	0.019893642768	0.002606244678	0.021556872195	0.003493056401	40	2	-0.129263712237	Global Trend	
4550000	627.650990	1	-0.509521857001	0.871317374633	-0.038627093815	0.160076042374	0.007745255288	0.000053268334	0.999991210694	N\A	0.019050641367	0.002728840206	0.020750523796	0.003763585698	34	4	0.625476708312	Global Trend	
4600000	639.082366	1	-0.542539874077	0.861456322095	-0.038221649147	0.174348682365	0.002808663228	0.000052327170	0.999919623461	N\A	0.018773808207	0.002439371296	0.020352745202	0.003456851970	47	5	-0.280371168063	Global Trend	
4650000	636.186551	1	-0.528280044564	0.899729530462	-0.047787559034	0.133988345325	0.014633726802	0.000061610355	0.985655228936	N\A	0.032171073590	0.004075575056	0.023126841842	0.003672968035	51	6	-0.009596384969	Global Trend	
4700000	623.324859	1	-0.449124911807	0.837970035244	-0.043424891310	0.197324385383	0.006226287347	0.000058677292	0.991671762111	N\A	0.023962949274	0.003336887465	0.023293035072	0.004013963726	45	4	-0.020612982840	Global Trend	
4750000	647.588017	1	-0.492835452257	0.863897707514	-0.042127484446	0.174218688604	0.005960645620	0.000058915354	0.996998960376	N\A	0.020375056795	0.002601657644	0.021222057862	0.003543884546	34	6	0.044258609726	Global Trend	
4800000	631.110233	1	-0.533842438288	0.880261869163	-0.044277470286	0.180821644052	0.007973883794	0.000076925094	0.979748753288	N\A	0.044757478790	0.005512199305	0.026268242941	0.004134823100	32	5	0.008936969410	Global Trend	
4850000	628.007363	1	-0.483341593742	0.816974319887	-0.035388406691	0.220938969611	-0.002510475313	0.000068686242	0.999987387989	N\A	0.019389148011	0.002418074000	0.021012888800	0.003220638065	33	5	1.008680477793	Global Trend	
4900000	623.843239	1	-0.435855360928	0.785454482476	-0.042270429141	0.257990384762	0.001514534447	0.000044702370	0.995199413800	N\A	0.021155584906	0.002757330197	0.021672278551	0.003702262646	42	6	-0.021662060205	Global Trend	
4950000	637.868676	1	-0.511750881821	0.838151042033	-0.040149380224	0.184753381457	0.007352964913	0.000083559600	0.992369234615	N\A	0.019584933174	0.002613904150	0.017633106236	0.003191599006	46	5	0.030485602925	Global Trend	
5000000	621.219146	1	-0.479927078847	0.862312771898	-0.043420575987	0.159683074682	0.010848177635	0.000061592224	0.981885487127	N\A	0.051992455444	0.006683455225	0.027602669803	0.004635745575	47	3	0.002446136734	Global Trend	
5050000	617.937428	1	-0.468410358811	0.819865439106	-0.037342719751	0.220481668391	-0.003085224764	0.000026097949	0.999920476777	N\A	0.019105054431	0.002451237808	0.020656706177	0.003369259551	45	4	0.099658553776	Global Trend	
5100000	623.607795	1	-0.504400954336	0.852515703725	-0.042513273960	0.186734209148	0.003521278286	0.000048574727	0.999972962319	N\A	0.020423547810	0.002512349331	0.022040808676	0.003551470851	44	5	-0.450516920707	Global Trend	
5150000	601.903640	1	-0.436052334813	0.798063900671	-0.037010669445	0.244015335253	-0.000563721210	0.000061282171	0.995685144905	N\A	0.022127558715	0.002871922328	0.023063166445	0.003759671263	40	3	0.025019554815	Global Trend	
