Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MES_d1_m8-fab-006.txt
Log File Name:                   MES_d1_m8-fab-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            710784935
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MES_d1_m8-fab-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.297316
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.66 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	
6050000	590.249154	1	-0.965706143614	1.021628868704	-0.043819045526	0.080685608930	0.000058329316	0.976756923989	N\A	0.036542578583	0.004414189108	0.017355308448	42	2	
6100000	587.055740	1	-1.065326718198	1.081702832799	-0.039279315335	0.020680837812	0.000085499295	0.982554861754	N\A	0.027278456324	0.003959220868	0.013562406263	48	6	
6150000	574.976895	1	-0.762356365512	0.938652864075	-0.031322883617	0.075859662707	0.000075683820	0.976615850207	N\A	0.035579482390	0.003512766333	0.014364405269	29	4	
6200000	576.894185	1	-0.877969133572	1.013894419970	-0.040196612972	0.067567756067	0.000044686129	0.978119630601	N\A	0.032914710865	0.003617166539	0.015434051279	43	2	
6250000	571.107603	1	-0.978815769022	1.047015239251	-0.037824374643	0.029752331919	0.000064156685	0.977495999799	N\A	0.036384857557	0.003880044696	0.016148973656	37	2	
6300000	584.381860	1	-1.070646134892	1.037229862225	-0.035317751688	0.038426415982	0.000135356929	0.982518088761	N\A	0.025914643117	0.003434887057	0.013424518844	44	3	
6350000	591.163942	1	-0.999451428975	1.022972895214	-0.037748689978	0.051206488723	0.000069931605	0.979123908007	N\A	0.034547903050	0.004236301127	0.015834542230	37	5	
6400000	576.173617	1	-0.972530550952	1.022443244610	-0.041777382647	0.066845790790	0.000063706817	0.975892170211	N\A	0.037669746226	0.004194595223	0.016529031535	33	2	
6450000	584.853830	1	-0.987126931720	1.015908898835	-0.040989062800	0.071401094899	0.000071367425	0.973726495310	N\A	0.038655043758	0.004762688842	0.018037970776	49	4	
6500000	590.022532	1	-1.103759443254	1.089895526280	-0.042841424833	0.028661565193	0.000032323275	0.978725250993	N\A	0.035980253992	0.005167964174	0.017384562585	41	3	
6550000	584.900998	1	-1.059546967702	1.073728772303	-0.040325585776	0.031520073164	0.000079453624	0.977080828962	N\A	0.035925939143	0.003637551357	0.014013708323	35	2	
6600000	574.877278	1	-0.913760799883	1.006429697164	-0.036848511421	0.051035157694	0.000056559517	0.976687550942	N\A	0.037280363302	0.004050496777	0.016134450593	42	2	
6650000	580.867337	1	-0.999211257638	1.041318022893	-0.040135815257	0.052906079251	0.000067420363	0.979451009739	N\A	0.033423100262	0.003873721769	0.015183366644	41	2	
6700000	585.796468	1	-0.873740093796	0.977751112402	-0.033527289634	0.062153721521	0.000069763186	0.977744118107	N\A	0.037869615926	0.004148928245	0.016808642435	42	2	
6750000	587.947265	1	-0.946818300875	1.003066806131	-0.035585461456	0.054512792891	0.000080354079	0.980034074418	N\A	0.030181432070	0.003965257611	0.014716516818	31	4	
