Species_TTOL	SEP	rest_of_brain	rest_of_brain2	BOD	BOD2
Rhinolophus_hipposideros	0.31	2.14741999328989	4.61141262758114	0.663	0.439569
Rhinolophus_landeri	0.56	2.41927248180996	5.85287934124292	0.987	0.974169
Rhinolophus_lepidus	0.36	2.24246038366786	5.0286285723198	0.778	0.605284
Rhinolophus_luctus	0.76	2.76563752486781	7.64875091895694	1.516	2.298256
Rhinolophus_macrotis	0.43	2.29216841823355	5.2540360575473	0.799	0.638401
Rhinolophus_malayanus	0.44	2.28065583157794	5.20139102211046	0.806	0.649636
Rhinolophus_megaphyllus	0.49	2.39284327871508	5.72569895649193	0.991	0.982081
Rhinolophus_pearsonii	0.58	2.49680535567541	6.23403698412942	1.143	1.306449
Rhinolophus_pusillus	0.27	2.19036275728536	4.79768900850274	0.672	0.451584
Rhinolophus_trifoliatus	0.52	2.51948592306197	6.34780931650745	1.164	1.354896
Rhinolophus_yunnanensis	0.68	2.61598611233896	6.84338333995029	1.371	1.879641
Rhinonicteris_aurantia	0.5	2.36980993185743	5.61599911313013	0.934	0.872356
Rhinophylla_pumilio	0.65	2.52389337701925	6.37003777856165	0.949	0.900601
Rhinopoma_hardwickii	0.59	2.41517493551946	5.83306996916144	1.111	1.234321
Rhinopoma_microphyllum	0.7	2.56167523073907	6.56217998778205	1.468	2.155024
Rhogeessa_parvula	0.21	2.02540404611476	4.10226155001805	0.653	0.426409
Rhynchonycteris_naso	0.15	2.04732050651951	4.19152125641528	0.58	0.3364
Saccopteryx_bilineata	0.43	2.33483311530367	5.45144567631863	0.924	0.853776
Saccopteryx_canescens	0.21	2.08934484317686	4.36536187370975	0.531	0.281961
Saccopteryx_leptura	0.23	2.18322541361085	4.76647320663625	0.708	0.501264
Scotomanes_ornatus	0.78	2.55494722650546	6.52775533022796	1.338	1.790244
Scotophilus_dinganii	0.65	2.6152095371468	6.83932092318357	1.386	1.920996
Scotophilus_kuhlii	0.61	2.50605597481635	6.28031654891271	1.31	1.7161
Sphaeronycteris_toxophyllum	0.82	2.69540272673135	7.26519585927081	1.265	1.600225
Sturnira_lilium	0.95	2.7664442150746	7.6532135951197	1.305	1.703025
Sturnira_ludovici	0.94	2.79971581818209	7.83840866257902	1.413	1.996569
Sturnira_tildae	0.95	2.82056767486967	7.95560200851967	1.387	1.923769
Tadarida_aegyptiaca	0.75	2.56759514736225	6.59254484075817	1.248	1.557504
Taphozous_australis	0.83	2.68911434548403	7.23133596308799	1.38	1.9044
Taphozous_hildegardeae	0.8	2.71134274302204	7.3513794701383	1.438	2.067844
Taphozous_mauritianus	0.8	2.71797961523504	7.3874131888332	1.462	2.137444
Taphozous_melanopogon	0.75	2.70480831622297	7.31598802750896	1.356	1.838736
Tonatia_bidens	0.91	2.87212442061372	8.24909868748569	1.468	2.155024
Lophostoma_schulzi	0.56	2.67681030271887	7.1653133967419	1.328	1.763584
Trachops_cirrhosus	0.94	2.97719852358353	8.86371104882793	1.567	2.455489
Triaenops_persicus	0.42	2.41026109600416	5.80935855091118	1.137	1.292769
Tylonycteris_pachypus	0.06	1.87843900376487	3.52853309086516	0.681	0.463761
Tylonycteris_robustula	0.16	2.03440793493338	4.1388156457199	0.857	0.734449
Uroderma_bilobatum	0.93	2.76341624316696	7.636469332999	1.21	1.4641
Vampyressa_pusilla	0.72	2.55572901399533	6.53175079297756	0.934	0.872356
Vampyrum_spectrum	1.3	3.38883839645361	11.4842256772783	2.238	5.008644
Alouatta_seniculus	2.301	4.69064476860801	22.0021483452696	3.806	14.485636
Aotus_trivirgatus	1.923	4.20956514451613	17.7204387059251	2.919	8.520561
Ateles_geoffroyi	2.511	5.00423671459412	25.0423850956918	3.903	15.233409
Avahi_laniger	1.843	3.99079117597203	15.9264142102162	3.109	9.665881
Plecturocebus_moloch	1.937	4.24999973790912	18.0624977722276	2.954	8.726116
Callimico_goeldii	1.803	4.02141427425862	16.171772765211	2.681	7.187761
Callithrix_jacchus	1.697	3.86010428447601	14.9004050870301	2.447	5.987809
Cebuella_pygmaea	1.465	3.63358773263483	13.2029598107543	2.146	4.605316
Cebus_albifrons	2.241	4.8258408678735	23.2887400820381	3.491	12.187081
Cercopithecus_ascanius	2.4	4.80297404128273	23.0685596412358	3.531	12.467961
Cercopithecus_mitis_mitis	2.391	4.84835244065239	23.5065213887799	3.799	14.432401
Cheirogaleus_major	1.77	3.80396492768725	14.4701491710746	2.653	7.038409
Cheirogaleus_medius	1.512	3.4708780230274	12.0469942507346	2.248	5.053504
Daubentonia_madagascariensis	2.405	4.6294722319675	21.4320131465581	3.447	11.881809
Erythrocebus_patas	2.519	5.01330305301563	25.1332075013758	3.892	15.147664
Eulemur_fulvus_fulvus	2.076	4.34468914865517	18.876323798442	3.146	9.897316
Galago_senegalensis	1.553	3.65384583826705	13.3505894098214	2.27	5.1529
Galagoides_demidoff	1.41	3.50526524207999	12.2868844173341	1.908	3.640464
Gorilla_gorilla	3.069	5.67214160105073	32.1731903423703	5.021	25.210441
Homo_sapiens	3.417	6.09769523952942	37.1818872341798	4.813	23.164969
Hylobates_lar	2.48	4.98887970833346	24.8889207442213	3.756	14.107536
Indri_indri	2.312	4.55944787748954	20.7885649475439	3.796	14.409616
Lagothrix_lagotricha	2.425	4.980177796679	24.8021708865345	3.716	13.808656
Lepilemur_mustelinus	1.754	3.85550540645094	14.8649219391724	2.961	8.767521
Lophocebus_albigena	2.468	4.9893093148895	24.8932074396431	3.898	15.194404
Loris_tardigradus_tardigradus	1.614	3.79701647977618	14.4173341476919	2.508	6.290064
