Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  CEREB_d1_m8-fab-004.txt
Log File Name:                   CEREB_d1_m8-fab-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1629109661
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   CEREB_d1_m8-fab-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.111269
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.79 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	
5350000	569.729758	1	-1.054830016344	1.071087784787	-0.009570416750	0.024737996315	0.000035450675	0.982259048248	N\A	0.041725900042	0.005065481953	0.016818398390	32	0	
5400000	576.969119	1	-1.011017385384	1.088664841317	-0.010536491694	0.002686543470	0.000068291700	0.987841961093	N\A	0.029015573678	0.004979135685	0.014643817044	50	3	
5450000	585.178732	1	-0.880881970979	0.998625539434	-0.003794475424	0.035644088972	0.000089078722	0.987801221902	N\A	0.038159006058	0.004109738131	0.014712491830	38	2	
5500000	571.036311	1	-0.936067145988	1.019598319945	-0.003326466013	0.026545639879	0.000057090991	0.988091735095	N\A	0.040975519264	0.004659532856	0.015834209279	35	2	
5550000	571.857005	1	-1.084611152759	1.096382012684	-0.012113074369	0.015496511286	0.000076031289	0.984469556352	N\A	0.041105042230	0.005047195435	0.017080090717	39	2	
5600000	575.906762	1	-0.925236765780	1.017861310746	-0.006395822188	0.040624079597	0.000080607689	0.986025115584	N\A	0.038193069907	0.004435714891	0.016412796929	33	1	
5650000	570.933790	1	-0.895076381075	1.000449066122	-0.009074344963	0.063977976425	0.000038753419	0.980486075433	N\A	0.044348145532	0.005547243375	0.019874473448	30	0	
5700000	584.323959	1	-0.937392510287	1.037608515428	-0.004243225266	0.009705522955	0.000073497351	0.985179283828	N\A	0.041266488204	0.004907930753	0.016842430578	27	2	
5750000	565.404302	1	-0.918177191559	1.018162644885	-0.008009354378	0.040811853325	0.000095345398	0.988155361472	N\A	0.039957257556	0.004372800418	0.014926302346	34	3	
5800000	578.390345	1	-0.885765657825	1.002796849010	-0.003779460830	0.032467866786	0.000074418778	0.984577787304	N\A	0.037974462906	0.004243986577	0.015789823366	38	1	
5850000	561.542414	1	-1.164143933025	1.154735369749	-0.018799910582	0.009027315784	0.000098955165	0.979652593539	N\A	0.041179485129	0.004868251728	0.017392775167	25	1	
5900000	574.138334	1	-0.889583548011	1.007029607428	-0.009399969145	0.055985854707	0.000069077763	0.984232390495	N\A	0.042608150173	0.004830989816	0.017469789317	31	0	
5950000	570.201144	1	-0.889335835404	0.994915327867	-0.009123611060	0.072038639424	0.000077300566	0.983644462278	N\A	0.043335495899	0.004468727677	0.016866249803	36	2	
6000000	570.648146	1	-0.991391158498	1.051223596752	-0.009186483972	0.034037117322	0.000037610708	0.982886595139	N\A	0.044445794106	0.004954094244	0.017783982701	36	1	
6050000	576.787091	1	-1.173595381533	1.150276888927	-0.018577161489	0.003062045459	0.000005630209	0.986053250898	N\A	0.040717273727	0.004623188652	0.015106776573	34	2	
6100000	586.003466	1	-0.894519370320	1.009851746875	-0.009596846035	0.056800110295	0.000009079520	0.986711261070	N\A	0.041544651262	0.004744500463	0.015947083781	33	2	
6150000	556.523605	1	-0.934481162456	1.025337861123	-0.008956330199	0.041234270172	0.000010954604	0.986769640552	N\A	0.032313515503	0.003840518627	0.014512114574	42	0	
6200000	557.185567	1	-1.015345344933	1.074084445100	-0.009933705630	0.017380890589	0.000080548985	0.988632368337	N\A	0.040200583876	0.004234492652	0.015253126375	36	1	
6250000	568.612045	1	-1.087930955544	1.116918574057	-0.013268976000	0.002064867752	0.000070553124	0.983450252488	N\A	0.041740975564	0.005012945011	0.017893054283	39	0	
6300000	572.485686	1	-0.981780038353	1.052578226767	-0.010063659568	0.023156920346	0.000072086595	0.984106592885	N\A	0.043126596806	0.004924964109	0.016862139273	34	2	
6350000	562.213501	1	-1.003889639256	1.076948366012	-0.012628458218	0.022548053112	0.000087947796	0.980209549916	N\A	0.044091824525	0.005368753058	0.018159017146	28	0	
6400000	572.811031	1	-0.863393911801	0.981064952545	-0.000541525886	0.039211553565	0.000081053779	0.987319861261	N\A	0.039982859784	0.004365909357	0.015869548030	33	1	
6450000	577.361958	1	-0.952806503174	1.058638338492	-0.016581121768	0.048021335521	0.000053233035	0.982903224214	N\A	0.043558363071	0.005375832484	0.018758483654	43	1	
6500000	559.547029	1	-0.765415335798	0.936413765542	0.000430293678	0.054342426633	0.000091134888	0.981534905748	N\A	0.045316255014	0.004861978818	0.017979800071	32	1	
6550000	571.878452	1	-1.001225283999	1.081798479112	-0.012608305269	0.012126526731	0.000070244370	0.983777062567	N\A	0.043940612701	0.005012776001	0.016960436440	28	1	
6600000	573.336392	1	-0.966555469573	1.037327879997	-0.005854471097	0.029182939067	0.000057352690	0.985226316832	N\A	0.036892554118	0.004479514049	0.015453859827	45	0	
6650000	582.359565	1	-1.007244861610	1.074869801479	-0.013749434621	0.031491134962	0.000080244231	0.988205460904	N\A	0.042246268997	0.004753396775	0.017113450899	40	1	
6700000	578.562040	1	-0.931705181256	1.041666690125	-0.010835035953	0.033285713842	0.000087704136	0.988340112247	N\A	0.036952668606	0.004186196485	0.015616549605	32	3	
6750000	571.860613	1	-1.046458230444	1.107357544360	-0.019513599574	0.031439900388	0.000084495098	0.985972437106	N\A	0.042560463533	0.005049435479	0.017406934707	35	0	
