Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MES_d1_m7-glob-003.txt
Log File Name:                   MES_d1_m7-glob-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1394259416
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MES_d1_m7-glob-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.297316
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.66 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	Global Trend	
4150000	564.772003	1	-0.564038924093	0.683740688731	0.231609070899	-0.027322609316	0.000151664290	0.973584665929	N\A	0.027901846749	0.025213055446	0.003240777612	40	3	0.003601204329	Global Trend	
4200000	580.804062	1	-0.525016788008	0.695276973142	0.217418073777	-0.026946785967	0.000093519938	0.976733137490	N\A	0.025880610315	0.023137056849	0.002990923013	35	7	-0.000648002584	Global Trend	
4250000	569.016105	1	-0.660237332492	0.695926682926	0.212463125516	-0.022341201766	0.000067110736	0.972578180603	N\A	0.025010735314	0.022990165315	0.002840891365	36	5	0.003542707760	Global Trend	
4300000	572.244467	1	-0.544795530941	0.713759738682	0.192762598019	-0.023693142660	0.000076587444	0.987120501642	N\A	0.023408473757	0.020360124727	0.002081418633	40	5	-0.000104277127	Global Trend	
4350000	582.599448	1	-0.518317361767	0.683139194482	0.202741975057	-0.022878862656	0.000314118543	0.975953120942	N\A	0.021863338989	0.020257248496	0.002594789939	47	5	-0.000786317318	Global Trend	
4400000	568.700499	1	-0.571958157171	0.709800699662	0.192364538559	-0.022960071445	0.000088891986	0.970813932778	N\A	0.026368401562	0.024288761633	0.003112444387	37	4	0.000729715750	Global Trend	
4450000	568.072344	1	-0.508464958084	0.674668774234	0.214201546319	-0.021963833131	0.000079510663	0.972644604275	N\A	0.025516927487	0.023121298806	0.002826557728	38	6	0.001629625322	Global Trend	
4500000	564.791281	1	-0.486203503145	0.702003422977	0.174424862881	-0.018069914867	0.000078028853	0.973242464567	N\A	0.025552197409	0.023288576226	0.002978177512	42	6	-0.000999783052	Global Trend	
4550000	571.179754	1	-0.614285350199	0.725671937352	0.185207649150	-0.023227281736	0.000108374688	0.974289571632	N\A	0.024139788933	0.022100627127	0.003016827077	37	4	0.004194381497	Global Trend	
4600000	572.573423	1	-0.556558091879	0.695665328311	0.215016086855	-0.027563882681	0.000067199756	0.976815079250	N\A	0.023999402011	0.021361312562	0.002657641991	42	7	-0.000230390002	Global Trend	
4650000	584.380979	1	-0.632201797995	0.745196792823	0.188399720968	-0.024551851799	0.000112117032	0.982934835708	N\A	0.024993296442	0.019348804517	0.002387838580	36	5	0.000447880414	Global Trend	
4700000	549.520113	1	-0.527433467031	0.709308446267	0.187808050148	-0.021040984546	0.000066374323	0.971864443567	N\A	0.025113072431	0.023414916202	0.003035085930	33	3	0.000207203556	Global Trend	
4750000	547.842462	1	-0.506799121452	0.689183632010	0.225780197725	-0.027376553205	0.000087864790	0.968902845214	N\A	0.023480916950	0.022223520976	0.002862262894	38	4	-0.000753919284	Global Trend	
4800000	563.566971	1	-0.723982575588	0.700097104043	0.218562821593	-0.028695208953	0.000090277452	0.974004105155	N\A	0.021431416253	0.020265307368	0.002518480968	40	4	0.006584962586	Global Trend	
4850000	561.757452	1	-0.624555236970	0.755239033520	0.177091914478	-0.024020138389	0.000098300108	0.976226305334	N\A	0.024908510344	0.022100691657	0.002758387993	41	5	-0.004209386708	Global Trend	
4900000	564.160485	1	-0.638179533913	0.665429990814	0.244060556707	-0.029043620686	0.000145075920	0.972315092525	N\A	0.024093667243	0.022326943875	0.002947745746	36	5	0.008482190987	Global Trend	
4950000	581.790838	1	-0.611130377439	0.707646441452	0.220128494724	-0.026943702721	0.000131162204	0.975999600458	N\A	0.023447444790	0.021525266619	0.002848569065	31	7	0.002923194140	Global Trend	
5000000	575.268320	1	-0.441196782001	0.644152737311	0.232005371297	-0.022142115337	0.000067455955	0.981662906748	N\A	0.008525710482	0.012513392507	0.002048726434	35	4	0.000957622062	Global Trend	
5050000	573.637519	1	-0.417678553361	0.652937811322	0.253553302822	-0.027759959698	0.000086893550	0.975890684341	N\A	0.021368747902	0.020084092807	0.002591525461	36	6	-0.002075562664	Global Trend	
5100000	563.176560	1	-0.508459870299	0.637632515076	0.256151491978	-0.026769812031	0.000226359084	0.969590844265	N\A	0.026676998510	0.023934055800	0.002750958051	38	6	-0.001429921706	Global Trend	
5150000	565.635838	1	-0.443622979960	0.684601984519	0.229159931647	-0.026497552736	0.000105832680	0.970187547729	N\A	0.027494391472	0.024237810396	0.002894394205	37	5	-0.004563458523	Global Trend	
5200000	573.562009	1	-0.611385411245	0.699917375184	0.229629597096	-0.029667729522	0.000103841070	0.975357019042	N\A	0.024067480873	0.021876247243	0.002739890137	48	5	0.003163116916	Global Trend	
5250000	560.445391	1	-0.568666238913	0.677126591157	0.242982775556	-0.030468105786	0.000155543416	0.974087910130	N\A	0.027870953178	0.024729551667	0.003224079706	39	6	0.004108097916	Global Trend	
5300000	583.466265	1	-0.447474399206	0.721273383042	0.181762668704	-0.021064248657	0.000086180698	0.976535293664	N\A	0.024390804063	0.022692450861	0.002781633406	38	7	-0.006062424670	Global Trend	
5350000	558.188732	1	-0.558767758574	0.639547775582	0.266225184784	-0.026927280795	0.000215270705	0.972950752773	N\A	0.025754617329	0.023498995075	0.002976588173	36	5	0.003827819549	Global Trend	
5400000	576.541698	1	-0.694187542447	0.779416967514	0.152208449337	-0.022559879321	0.000055311128	0.983390843728	N\A	0.025363326604	0.022606414151	0.002900182297	34	7	-0.000366127552	Global Trend	
5450000	573.585361	1	-0.566745827340	0.671220968188	0.225296301917	-0.024028447599	0.000111386002	0.972405116113	N\A	0.023133772197	0.020987672542	0.002846018978	44	7	0.002592535682	Global Trend	
5500000	570.405411	1	-0.612406670234	0.696450117394	0.214751141187	-0.021465584508	0.000048302117	0.976945591037	N\A	0.026617224477	0.023502768037	0.003062891833	46	6	-0.000168759539	Global Trend	
5550000	584.497567	1	-0.517484558928	0.626853258442	0.279689457950	-0.030298056106	0.000103376925	0.975521948602	N\A	0.024292755121	0.021877602756	0.002622748977	42	6	0.003833948999	Global Trend	
5600000	577.350894	1	-0.528259457177	0.676089652624	0.247024837280	-0.028308673456	0.000091166111	0.996322416152	N\A	0.025532668084	0.019729266217	0.002287728044	44	7	-0.005563294759	Global Trend	
5650000	560.455195	1	-0.643877104308	0.765956937209	0.153484198576	-0.021106935022	0.000080793041	0.973557114850	N\A	0.024767085779	0.022363131794	0.002840142813	44	5	0.000812137407	Global Trend	
5700000	564.345030	1	-0.695208180990	0.707147586237	0.199404019672	-0.023935913471	0.000086043077	0.972590495091	N\A	0.027007789357	0.026060567691	0.003257519417	49	4	0.007555895994	Global Trend	
5750000	573.828250	1	-0.621904441648	0.760372028664	0.166735319735	-0.023064398052	0.000107737821	0.975050985709	N\A	0.026252670475	0.023518386156	0.003150431379	29	5	-0.000671716819	Global Trend	
5800000	582.797804	1	-0.826985688378	0.732998376781	0.184989615640	-0.024441845223	0.000122144831	0.975367436014	N\A	0.025867404055	0.023275647689	0.002952219730	26	7	0.011217995139	Global Trend	
5850000	582.340353	1	-0.612108978464	0.702643010657	0.195554639854	-0.022986885368	0.000077663510	0.976117970479	N\A	0.022594400279	0.020998542005	0.002565538761	43	6	0.001823869464	Global Trend	
5900000	584.710103	1	-0.702858220548	0.753042020545	0.162373131493	-0.022585792643	0.000079645095	0.979225259753	N\A	0.022872134511	0.020955709760	0.002608244844	55	5	0.002979511849	Global Trend	
